name,date,qc.overallStatus
335_S71/B.1.1/2020-06-30,2020-06-30,mediocre
33_S22/B.1.1/2020-03-25,2020-03-25,mediocre
340_S74/B.1.1/2020-06-29,2020-06-29,good
341_S75/B.1.1/2020-06-29,2020-06-29,good
342_S76/B.1.1/2020-06-24,2020-06-24,mediocre
347_S79/B.1.1/2020-07-01,2020-07-01,mediocre
348_S80/B.1.1/2020-07-01,2020-07-01,mediocre
349_S81/B.1.1/2020-07-01,2020-07-01,mediocre
351_S82/B.1.1/2020-07-01,2020-07-01,good
355_S85/B.1.1/2020-07-01,2020-07-01,mediocre
358_S88/B.1.1/2020-07-02,2020-07-02,mediocre
359_S89/B.1.1/2020-07-01,2020-07-01,mediocre
36050_S56/B.1.1/2020-05-07,2020-05-07,good
36055_S57/B.1.1/2020-05-08,2020-05-08,good
36130_S60/B.1.1/2020-05-07,2020-05-07,mediocre
36161_S62/B.1.1/2020-05-08,2020-05-08,mediocre
36224_S66/B.1.1/2020-05-08,2020-05-08,mediocre
36226_S67/B.1.1/2020-05-08,2020-05-08,mediocre
36235_S69/B.1.1/2020-05-09,2020-05-09,good
36250_S70/B.1.1/2020-05-06,2020-05-06,good
36337_S71/B.1.1/2020-05-07,2020-05-07,good
36812_S73/B.1.1/2020-05-09,2020-05-09,good
36818_S74/B.1.1/2020-05-04,2020-05-04,mediocre
36864_S75/B.1.1/2020-05-07,2020-05-07,good
36923_S76/B.1.1/2020-05-09,2020-05-09,mediocre
369_S91/B.1.1/2020-07-02,2020-07-02,good
371_S1/B.1.1.409/2020-07-02,2020-07-02,mediocre
376_S6/B.1.1/2020-07-02,2020-07-02,good
377_S7/B.1.1.409/2020-07-02,2020-07-02,mediocre
381_S10/B.1.1/2020-07-01,2020-07-01,mediocre
3871_S14/B.1.1/2020-03-26,2020-03-26,good
406_S18/B.1.1/2020-07-31,2020-07-31,mediocre
408_S20/B.1.1/2020-07-31,2020-07-31,mediocre
409_S21/B.1.1/2020-07-30,2020-07-30,good
411_S22/B.1.1/2020-07-31,2020-07-31,mediocre
413_S24/B.1.1/2020-07-31,2020-07-31,good
418_S26/B.1.1/2020-07-31,2020-07-31,good
420_S28/B.1.1/2020-07-31,2020-07-31,good
428_S32/B.1.1/2020-07-31,2020-07-31,good
435_S34/B.1.1/2020-07-29,2020-07-29,mediocre
43_S27/B.1.1/2020-03-21,2020-03-21,mediocre
448_S38/B.1.1/2020-07-31,2020-07-31,good
449_S39/B.1.1/2020-07-31,2020-07-31,good
44_S28/B.1.1/2020-03-21,2020-03-21,mediocre
451_S40/B.1.1/2020-07-31,2020-07-31,good
452_S41/B.1.1.464/2020-07-31,2020-07-31,good
457_S44/B.1.1/2020-07-31,2020-07-31,good
459_S45/B.1.1/2020-07-31,2020-07-31,mediocre
463_S47/B.1.1.117/2020-07-31,2020-07-31,mediocre
465_S48/B.1.1.231/2020-07-30,2020-07-30,mediocre
46_S29/B.1.1/2020-03-21,2020-03-21,mediocre
47_S30/B.1.1/2020-03-21,2020-03-21,mediocre
49355_S79/B.1.1.409/2020-05-26,2020-05-26,mediocre
50_S33/B.1.1/2020-03-21,2020-03-21,mediocre
51908_S36/B.1.1.409/2020-05-26,2020-05-26,good
51_S34/B.1.1/2020-03-21,2020-03-21,mediocre
52201_S31/B.1.1/2020-05-31,2020-05-31,good
5771_S19/B.1.1.409/2020-04-06,2020-04-06,mediocre
6007_S70/B.1.1/2020-04-07,2020-04-07,good
6008_S71/B.1.1/2020-04-07,2020-04-07,good
6015_S72/B.1.1.409/2020-03-30,2020-03-30,mediocre
6018_S73/B.1.1/2020-03-31,2020-03-31,good
6021_S74/B.1.1/2020-03-31,2020-03-31,good
6024_S75/B.1.1/2020-03-31,2020-03-31,good
6029_S76/B.1.1/2020-03-31,2020-03-31,good
6030_S77/B.1.1/2020-03-31,2020-03-31,good
6034_S78/B.1.1/2020-03-31,2020-03-31,good
6037_S79/B.1.1/2020-03-31,2020-03-31,good
6038_S80/B.1.1/2020-03-31,2020-03-31,good
6045_S81/B.1.1/2020-03-31,2020-03-31,good
6059_S82/B.1.1/2020-03-31,2020-03-31,good
6061_S83/B.1.1/2020-03-31,2020-03-31,good
6062_S84/B.1.1/2020-03-31,2020-03-31,good
6063_S85/B.1.1/2020-03-31,2020-03-31,good
6072_S86/B.1.1/2020-03-31,2020-03-31,good
6074_S87/B.1.1/2020-03-31,2020-03-31,good
6091_S88/B.1.1/2020-03-31,2020-03-31,good
6093_S1/B.1.1/2020-03-31,2020-03-31,good
6095_S2/B.1.1/2020-03-31,2020-03-31,good
6155_S3/B.1.1/2020-03-31,2020-03-31,good
6158_S4/B.1.1/2020-04-07,2020-04-07,good
6161_S5/B.1.1/2020-03-31,2020-03-31,good
6167_S6/B.1.1/2020-03-28,2020-03-28,good
6170_S7/B.1.1/2020-03-31,2020-03-31,good
6171_S8/B.1.1/2020-03-29,2020-03-29,good
6172_S9/B.1.1.409/2020-03-28,2020-03-28,mediocre
6173_S10/B.1.1.409/2020-03-31,2020-03-31,mediocre
6176_S11/B.1.1/2020-03-31,2020-03-31,good
6181_S12/B.1.1/2020-04-08,2020-04-08,good
6182_S13/B.1.1/2020-04-08,2020-04-08,good
6184_S14/B.1.1/2020-04-08,2020-04-08,good
6188_S15/B.1.1/2020-04-08,2020-04-08,good
6189_S16/B.1.1/2020-04-08,2020-04-08,good
6190_S17/B.1.1/2020-04-08,2020-04-08,good
6200_S18/B.1.1/2020-04-08,2020-04-08,good
6208_S19/B.1.1/2020-03-31,2020-03-31,good
6212_S20/B.1.1/2020-03-31,2020-03-31,good
63909_S81/B.1.1/2020-06-22,2020-06-22,mediocre
63_S41/B.1.1/2020-03-21,2020-03-21,mediocre
6510_S24/B.1.1/2020-04-01,2020-04-01,good
6513_S18/B.1.1/2020-04-01,2020-04-01,good
65191_S86/B.1.1/2020-06-22,2020-06-22,good
65196_S87/B.1.1/2020-06-22,2020-06-22,good
65213_S1/B.1.1/2020-06-23,2020-06-23,good
65215_S2/B.1.1/2020-06-23,2020-06-23,good
65258_S5/B.1.1/2020-06-23,2020-06-23,good
65259_S6/B.1.1/2020-06-23,2020-06-23,good
65263_S7/B.1.1/2020-06-23,2020-06-23,good
65266_S8/B.1.1/2020-06-23,2020-06-23,good
65274_S9/B.1.1/2020-06-23,2020-06-23,good
65276_S10/B.1.1/2020-06-24,2020-06-24,good
6548_S25/B.1.1/2020-03-31,2020-03-31,good
6592_S15/B.1.1.409/2020-04-01,2020-04-01,mediocre
6662_S16/B.1.1/2020-04-01,2020-04-01,good
67492_S28/B.1.1/2020-06-23,2020-06-23,good
67764_S12/B.1.1/2020-06-25,2020-06-25,mediocre
68457_S16/B.1.1/2020-06-27,2020-06-27,good
68463_S17/B.1.1/2020-06-27,2020-06-27,good
68477_S20/B.1.1.231/2020-06-28,2020-06-28,good
68478_S21/B.1.1.134/2020-06-28,2020-06-28,mediocre
68494_S26/B.1.1/2020-06-27,2020-06-27,good
68511_S29/B.1.1/2020-06-25,2020-06-25,good
69037_S30/B.1.1/2020-06-29,2020-06-29,good
69537_S34/B.1.1/2020-07-26,2020-07-26,good
69538_S35/B.1.1/2020-06-26,2020-06-26,good
69730_S36/B.1.1/2020-06-28,2020-06-28,good
69731_S37/B.1.1/2020-06-28,2020-06-28,mediocre
69732_S38/B.1.1/2020-06-28,2020-06-28,good
69733_S39/B.1.1/2020-06-27,2020-06-27,good
69734_S40/B.1.1.10/2020-06-27,2020-06-27,good
70579_S42/B.1.1/2020-06-26,2020-06-26,mediocre
70585_S43/B.1.1/2020-06-26,2020-06-26,good
70596_S46/B.1.1.464/2020-06-26,2020-06-26,mediocre
71_S48/B.1.1/2020-03-24,2020-03-24,good
72563_S50/B.1.1/2020-07-01,2020-07-01,good
72594_S52/B.1.1.277/2020-07-01,2020-07-01,good
72621_S56/B.1.1/2020-07-01,2020-07-01,mediocre
72632_S58/C.35/2020-07-01,2020-07-01,good
72878_S60/C.35/2020-07-03,2020-07-03,mediocre
72912_S61/B.1.1/2020-07-03,2020-07-03,mediocre
72913_S62/B.1.1/2020-07-03,2020-07-03,good
72933_S64/B.1.1/2020-07-03,2020-07-03,mediocre
73300_S70/B.1.1.464/2020-07-01,2020-07-01,mediocre
73954_S73/B.1.1/2020-07-03,2020-07-03,mediocre
73966_S75/B.1.1.409/2020-07-03,2020-07-03,mediocre
73995_S77/B.1.1/2020-07-06,2020-07-06,good
73996_S78/B.1.1/2020-07-06,2020-07-06,good
77417_S79/C.35/2020-07-07,2020-07-07,good
77420_S80/B.1.1/2020-07-07,2020-07-07,good
77429_S82/C.35/2020-07-09,2020-07-09,good
77432_S83/C.35/2020-07-09,2020-07-09,good
80_S56/B.1.1.409/2020-03-23,2020-03-23,mediocre
8663_S27/B.1.1/2020-04-04,2020-04-04,good
8665_S28/B.1.1.409/2020-04-04,2020-04-04,mediocre
8667_S29/B.1.1/2020-04-04,2020-04-04,good
8671_S30/B.1.1/2020-04-05,2020-04-05,good
8672_S31/B.1.1/2020-04-05,2020-04-05,good
8689_S32/B.1.1/2020-04-04,2020-04-04,good
8710_S33/B.1.1/2020-04-05,2020-04-05,good
8727_S34/B.1.1/2020-04-05,2020-04-05,good
8729_S35/B.1.1/2020-04-05,2020-04-05,good
96_S68/B.1.1/2020-03-30,2020-03-30,mediocre
EPIISL1013779/B.1.1/2020-10-30,2020-10-30,good
EPIISL1014102/B.1.1.203/2020-10-30,2020-10-30,good
EPIISL1014238/B.1.1.231/2020-10-30,2020-10-30,good
EPIISL471267/B.1.67/2020-04-17,2020-04-17,good
EPIISL471268/B.1.1/2020-04-17,2020-04-17,good
EPIISL471269/B.1.1/2020-06-04,2020-06-04,good
EPIISL471270/B.1.1/2020-05-19,2020-05-19,good
EPIISL471271/B.1.1/2020-05-19,2020-05-19,good
EPIISL477014/B.1.67/2020-03-30,2020-03-30,good
EPIISL477015/B.1.371/2020-06-17,2020-06-17,good
EPIISL477016/B.1/2020-06-17,2020-06-17,good
EPIISL481244/B.1/2020-04-17,2020-04-17,good
EPIISL481245/B.1.67/2020-04-17,2020-04-17,good
EPIISL481246/B.1.1/2020-04-17,2020-04-17,good
EPIISL481247/B.1.1/2020-04-17,2020-04-17,good
EPIISL481248/B.1.1/2020-04-17,2020-04-17,good
EPIISL486842/B.1.1/2020-07-01,2020-07-01,good
EPIISL486843/B.1.1/2020-07-01,2020-07-01,good
EPIISL486844/B.1.1/2020-07-01,2020-07-01,good
EPIISL486845/B.1.67/2020-06-30,2020-06-30,good
EPIISL486846/B.1.1/2020-06-30,2020-06-30,good
EPIISL486847/B.1.67/2020-06-30,2020-06-30,good
EPIISL486848/B.1/2020-06-30,2020-06-30,good
EPIISL486849/B.1.1/2020-06-30,2020-06-30,good
EPIISL486850/B.1.1/2020-06-30,2020-06-30,good
EPIISL486851/B.1.1/2020-06-30,2020-06-30,good
EPIISL491932/B.1.1/2020-07-03,2020-07-03,good
EPIISL491933/B.1/2020-04-07,2020-04-07,good
EPIISL491934/B.1.1.10/2020-04-07,2020-04-07,good
EPIISL491935/B.1.1.1/2020-04-13,2020-04-13,good
EPIISL491936/B.1/2020-06-30,2020-06-30,good
EPIISL491937/B.1.1/2020-06-30,2020-06-30,good
EPIISL491938/B.1/2020-06-30,2020-06-30,good
EPIISL491939/B.1/2020-07-03,2020-07-03,good
EPIISL491940/B.1/2020-07-03,2020-07-03,good
EPIISL491941/B.1.225/2020-05-02,2020-05-02,good
EPIISL491944/B.1.1/2020-04-25,2020-04-25,good
EPIISL491945/B.1.1/2020-04-22,2020-04-22,good
EPIISL491946/B.1.1/2020-05-28,2020-05-28,good
EPIISL491947/B.1.1/2020-05-08,2020-05-08,good
EPIISL491949/B.1.1/2020-05-26,2020-05-26,good
EPIISL491950/B.1.1/2020-05-08,2020-05-08,good
EPIISL491951/B.1.1/2020-06-01,2020-06-01,good
EPIISL491952/B.1.1/2020-05-29,2020-05-29,good
EPIISL491953/B.1.1/2020-05-08,2020-05-08,good
EPIISL491954/B.1.1/2020-05-28,2020-05-28,good
EPIISL516648/B.1.308/2020-07-14,2020-07-14,good
EPIISL516649/B.1.223/2020-07-14,2020-07-14,good
EPIISL516650/A.1/2020-07-22,2020-07-22,good
EPIISL516651/B.1.223/2020-07-25,2020-07-25,good
EPIISL516652/B.1.223/2020-07-29,2020-07-29,good
EPIISL525430/B.1.9/2020-05-20,2020-05-20,good
EPIISL525431/B.1/2020-08-12,2020-08-12,good
EPIISL525432/B.1/2020-08-12,2020-08-12,good
EPIISL525433/B.1/2020-08-13,2020-08-13,good
EPIISL525434/B.1.1.1/2020-08-13,2020-08-13,good
EPIISL525435/B.1/2020-08-14,2020-08-14,good
EPIISL525436/B.1.223/2020-08-12,2020-08-12,good
EPIISL525437/B.1/2020-08-12,2020-08-12,good
EPIISL525438/B.1.223/2020-08-14,2020-08-14,good
EPIISL527809/B.1.1/2020-08-04,2020-08-04,good
EPIISL527810/B.1.1.1/2020-08-04,2020-08-04,good
EPIISL527811/B.1.1.1/2020-08-04,2020-08-04,good
EPIISL527812/B.1/2020-08-20,2020-08-20,good
EPIISL527813/B.1.223/2020-08-20,2020-08-20,good
EPIISL527814/B.1/2020-08-20,2020-08-20,good
EPIISL527815/B.1.1/2020-08-20,2020-08-20,good
EPIISL527816/B.1.1/2020-08-20,2020-08-20,good
EPIISL527817/B.1/2020-08-20,2020-08-20,good
EPIISL527818/B.1.1/2020-08-14,2020-08-14,good
EPIISL527819/B.1.1/2020-04-07,2020-04-07,good
EPIISL539783/B.1.1/2020-06-15,2020-06-15,good
EPIISL539784/B.1/2020-08-19,2020-08-19,good
EPIISL539785/B.1.1.1/2020-08-04,2020-08-04,good
EPIISL539786/B.1/2020-08-05,2020-08-05,good
EPIISL539787/B.1/2020-08-05,2020-08-05,good
EPIISL539788/B.1.223/2020-08-05,2020-08-05,good
EPIISL539789/B.1.1.1/2020-08-15,2020-08-15,good
EPIISL539790/B.1/2020-08-15,2020-08-15,good
EPIISL539791/B.1/2020-08-15,2020-08-15,good
EPIISL539792/B.1/2020-08-15,2020-08-15,good
EPIISL539793/B.1.1/2020-08-15,2020-08-15,good
EPIISL574431/B.1.1/2020-09-14,2020-09-14,good
EPIISL594118/B.1.1/2020-08-14,2020-08-14,good
EPIISL660069/B.1.1.203/2020-07-20,2020-07-20,good
EPIISL660070/B.1.1/2020-10-26,2020-10-26,good
EPIISL660529/B.1.1/2020-10-01,2020-10-01,good
EPIISL660530/B.1.1.10/2020-10-01,2020-10-01,good
EPIISL660531/B.1/2020-10-01,2020-10-01,good
EPIISL660532/B.1/2020-10-02,2020-10-02,good
EPIISL660533/B.1/2020-10-05,2020-10-05,good
EPIISL660534/B.1/2020-10-05,2020-10-05,good
EPIISL660535/B.1/2020-10-10,2020-10-10,good
EPIISL660536/B.1/2020-10-10,2020-10-10,good
EPIISL660537/B.1.1.1/2020-10-10,2020-10-10,good
EPIISL660538/B.1/2020-10-10,2020-10-10,good
EPIISL660539/B.1.1/2020-10-02,2020-10-02,good
EPIISL681702/B.1/2020-03-23,2020-03-23,mediocre
EPIISL681703/B.1.1.231/2020-04-30,2020-04-30,good
EPIISL697783/B.1.1/2020-07-22,2020-07-22,good
EPIISL697784/B.1.1.1/2020-08-12,2020-08-12,good
EPIISL697785/B.1.1/2020-08-12,2020-08-12,good
EPIISL697786/B.1.1.1/2020-08-12,2020-08-12,good
EPIISL697788/B.1.1/2020-08-19,2020-08-19,good
EPIISL697789/B.1.6/2020-09-02,2020-09-02,good
EPIISL697790/B.1.1/2020-09-07,2020-09-07,good
EPIISL697792/B.1.1/2020-09-02,2020-09-02,good
EPIISL697793/B.1.1/2020-09-07,2020-09-07,good
EPIISL697794/B.1.1.1/2020-09-29,2020-09-29,good
EPIISL697795/B.1.1/2020-09-29,2020-09-29,good
EPIISL697796/B.1.1/2020-05-26,2020-05-26,good
EPIISL697798/B.1/2020-11-30,2020-11-30,good
EPIISL697799/B.1/2020-11-30,2020-11-30,good
EPIISL697800/B.1/2020-11-30,2020-11-30,good
EPIISL728204/A.2.5/2020-12-01,2020-12-01,good
EPIISL803098/B.1.1.7/2021-01-06,2021-01-06,good
EPIISL806544/B.1.1.7/2021-01-05,2021-01-05,good
EPIISL824284/B.1.1/2020-12-15,2020-12-15,good
EPIISL824285/B.1.1.348/2020-12-15,2020-12-15,good
EPIISL824286/B.1/2020-12-28,2020-12-28,good
EPIISL824287/B.1.1/2020-12-28,2020-12-28,good
EPIISL824288/B.1.1.348/2020-12-28,2020-12-28,good
EPIISL824289/B.1.1.348/2020-12-28,2020-12-28,good
EPIISL824290/B.1.1.348/2020-12-29,2020-12-29,good
EPIISL824291/B.1.1/2020-12-30,2020-12-30,good
EPIISL824292/B.1.1/2021-01-05,2021-01-05,good
EPIISL824293/B.1.1.7/2021-01-06,2021-01-06,good
EPIISL824294/B.1.1.7/2021-01-06,2021-01-06,good
EPIISL826798/B.1.1/2020-03-21,2020-03-21,good
EPIISL826800/B.1.1/2020-03-21,2020-03-21,good
EPIISL826802/B.1.1/2020-03-23,2020-03-23,good
EPIISL826804/B.1.1/2020-03-23,2020-03-23,good
EPIISL826805/B.1.1.326/2020-03-23,2020-03-23,good
EPIISL826807/B.1.1/2020-03-30,2020-03-30,good
EPIISL826809/B.1.1/2020-03-30,2020-03-30,good
EPIISL826811/B.1.1/2020-03-30,2020-03-30,good
EPIISL826812/B.1.1/2020-03-30,2020-03-30,good
EPIISL826814/B.1.1/2020-03-30,2020-03-30,good
EPIISL826816/B.1.1/2020-03-30,2020-03-30,good
EPIISL826818/B.1.1/2020-03-30,2020-03-30,good
EPIISL826820/B.1.1/2020-05-24,2020-05-24,good
EPIISL826822/B.1.1/2020-05-25,2020-05-25,good
EPIISL826823/B.1.1/2020-06-25,2020-06-25,good
EPIISL826825/B.1.1/2020-07-28,2020-07-28,good
EPIISL826827/B.1.1/2020-08-27,2020-08-27,good
EPIISL826829/B.1.1/2020-09-07,2020-09-07,good
EPIISL826830/B.1.1/2020-09-07,2020-09-07,good
EPIISL826832/B.1.1.231/2020-09-08,2020-09-08,good
EPIISL826834/B.1.1/2020-09-11,2020-09-11,good
EPIISL826836/B.1.1/2020-09-11,2020-09-11,good
EPIISL877551/B.1.1/2021-01-14,2021-01-14,good
EPIISL877552/B.1.1/2021-01-15,2021-01-15,good
EPIISL877553/B.1.1/2021-01-15,2021-01-15,good
EPIISL877554/B.1.1/2021-01-15,2021-01-15,good
EPIISL877555/B.1.1.1/2021-01-15,2021-01-15,good
EPIISL877556/B.1.1.1/2021-01-15,2021-01-15,good
EPIISL877557/B.1.1.1/2021-01-15,2021-01-15,good
EPIISL877558/B.1.1.1/2021-01-15,2021-01-15,good
EPIISL877559/B.1.1.1/2021-01-15,2021-01-15,good
EPIISL877560/B.1.1.1/2021-01-15,2021-01-15,good
EPIISL877561/B.1.1.7/2021-01-21,2021-01-21,good
EPIISL877562/B.1.1.7/2021-01-22,2021-01-22,good
EPIISL940769/B.1/2020-12-31,2020-12-31,good
EPIISL940773/B.1.1.411/2021-01-02,2021-01-02,good
EPIISL940775/B.1/2020-12-30,2020-12-30,good
EPIISL940777/B.1.1.411/2021-01-04,2021-01-04,good
EPIISL940781/B.1.1.411/2021-01-04,2021-01-04,good
EPIISL940821/B.1.1.411/2021-01-04,2021-01-04,good
EPIISL1381300/B.1.1.7/2021-03-20,2021-03-20,good
EPIISL1381301/B.1.1.7/2021-03-18,2021-03-18,good
EPIISL1381302/B.1.1.7/2021-03-22,2021-03-22,good
EPIISL1381303/B.1.1.7/2021-03-08,2021-03-08,good
EPIISL1381304/B.1.526/2021-03-08,2021-03-08,good
EPIISL1381305/B.1.526/2021-03-20,2021-03-20,good
EPIISL1443641/B.1.1/2020-09-01,2020-09-01,good
EPIISL1443642/B.1.1.348/2020-09-06,2020-09-06,good
EPIISL1443643/B.1.1.348/2020-09-06,2020-09-06,good
EPIISL1443644/B.1.1/2020-09-06,2020-09-06,good
EPIISL1443645/B.1.1/2020-09-06,2020-09-06,good
EPIISL1443646/B.1.1/2020-10-14,2020-10-14,good
EPIISL1443647/B.1.1/2020-10-14,2020-10-14,good
EPIISL1443648/B.1.1/2020-10-14,2020-10-14,good
EPIISL1443649/B.1.1/2020-10-14,2020-10-14,good
EPIISL1443650/B.1.1.388/2020-10-26,2020-10-26,good
EPIISL1443651/B.1.1/2020-10-29,2020-10-29,good
EPIISL1443652/B.1.1/2020-11-11,2020-11-11,good
EPIISL1443653/B.1.1/2020-12-09,2020-12-09,good
EPIISL1443654/B.1.1/2020-12-09,2020-12-09,good
EPIISL1443655/B.1.1.348/2020-12-08,2020-12-08,good
EPIISL1443656/B.1.1.231/2020-12-10,2020-12-10,good
EPIISL1443657/B.1.1.231/2020-12-10,2020-12-10,good
EPIISL1443658/B.1.1.464/2020-12-10,2020-12-10,good
EPIISL1443659/B.1.1.348/2020-12-10,2020-12-10,good
EPIISL1443660/B.1.1/2020-12-10,2020-12-10,good
EPIISL1443661/B.1.1.348/2020-12-10,2020-12-10,good
EPIISL1443662/B.1.1/2020-12-21,2020-12-21,good
EPIISL1443663/B.1.1/2021-01-04,2021-01-04,good
EPIISL1443664/B.1.1.348/2021-01-04,2021-01-04,good
EPIISL1443665/B.1.1.348/2021-01-04,2021-01-04,good
EPIISL1443666/B.1.1/2021-03-02,2021-03-02,good
EPIISL1443667/B.1.1.411/2021-03-04,2021-03-04,good
EPIISL1443668/B.1.1/2021-03-05,2021-03-05,good
EPIISL1443669/B.1.1/2021-03-08,2021-03-08,good
EPIISL1443670/B.1.1.348/2021-03-08,2021-03-08,good
EPIISL1443671/B.1.1.348/2021-03-09,2021-03-09,good
EPIISL1443672/B.1.1.348/2021-03-09,2021-03-09,good
EPIISL1443673/B.1.1/2021-03-09,2021-03-09,good
EPIISL1443674/B.1.1.348/2021-03-11,2021-03-11,good
EPIISL1443676/B.1.526/2021-03-17,2021-03-17,good
EPIISL1443677/B.1.1.348/2021-03-18,2021-03-18,good
EPIISL1443678/B.1.1.411/2021-03-20,2021-03-20,good
EPIISL1443679/B.1.1.411/2021-03-20,2021-03-20,good
EPIISL1443680/B.1.526/2021-03-20,2021-03-20,good
EPIISL1443681/B.1.526/2021-01-04,2021-01-04,good
EPIISL1443682/B.1.526/2021-01-04,2021-01-04,good
EPIISL1540707/P.1/2021-04-06,2021-04-06,good
EPIISL1656146/P.1/2021-04-06,2021-04-06,good
EPIISL1656147/P.1/2021-04-01,2021-04-01,good
EPIISL1738807/P.1/2021-04-16,2021-04-16,good
EPIISL1739244/P.1/2021-04-20,2021-04-20,good
EPIISL1805652/B.1.1/2021-04-05,2021-04-05,good
EPIISL1805653/B.1.1/2021-04-05,2021-04-05,good
EPIISL1805654/None/2021-04-01,2021-04-01,good
EPIISL1805655/None/2021-04-01,2021-04-01,good
EPIISL1805656/B.1.1/2021-04-02,2021-04-02,good
EPIISL1805657/None/2021-04-06,2021-04-06,good
EPIISL1805658/None/2021-04-06,2021-04-06,good
EPIISL1805659/None/2021-04-06,2021-04-06,good
EPIISL1805660/None/2021-04-06,2021-04-06,good
EPIISL1896694/A.2.5.3/2021-04-14,2021-04-14,good
EPIISL1968646/B.1.526/2021-04-12,2021-04-12,good
EPIISL1968653/B.1.1/2021-04-18,2021-04-18,mediocre
EPIISL1968980/P.1/2021-04-10,2021-04-10,good
EPIISL2086715/B.1.1/2021-04-21,2021-04-21,mediocre
EPIISL2086716/B.1.526/2021-04-07,2021-04-07,good
EPIISL2100431/B.1.1.7/2021-04-30,2021-04-30,good
EPIISL2100437/B.1.1.7/2021-05-06,2021-05-06,good
EPIISL2134871/B.1.526/2021-04-29,2021-04-29,good
EPIISL2134872/B.1.1.7/2021-04-28,2021-04-28,good
EPIISL2134873/B.1.1.7/2021-05-06,2021-05-06,good
EPIISL2134874/B.1.1.7/2021-05-06,2021-05-06,mediocre
EPIISL2348744/None/2021-05-12,2021-05-12,mediocre
EPIISL2348745/B.1.526/2021-05-11,2021-05-11,good
EPIISL2348746/B.1.526/2021-05-11,2021-05-11,good
EPIISL2348747/B.1.526/2021-05-11,2021-05-11,good
EPIISL2348748/B.1.526/2021-05-12,2021-05-12,good
EPIISL2348749/B.1.526/2021-05-12,2021-05-12,good
EPIISL2348750/A.2.5/2021-05-12,2021-05-12,good
EPIISL2348751/B.1.526/2021-05-12,2021-05-12,good
EPIISL2348752/B.1.1.7/2021-05-13,2021-05-13,good
EPIISL2348753/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348754/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348755/B.1.1.7/2021-05-13,2021-05-13,good
EPIISL2348756/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348757/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348758/A.2.5/2021-05-13,2021-05-13,good
EPIISL2348760/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348761/P.1/2021-05-12,2021-05-12,good
EPIISL2348763/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348764/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348765/B.1.526/2021-05-11,2021-05-11,mediocre
EPIISL2348766/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348767/A.2.5.3/2021-05-13,2021-05-13,good
EPIISL2348768/B.1.1.7/2021-05-13,2021-05-13,good
EPIISL2348769/A.2.5.3/2021-05-13,2021-05-13,good
EPIISL2348770/A.2.5.3/2021-05-13,2021-05-13,good
EPIISL2348771/B.1.1.7/2021-05-13,2021-05-13,good
EPIISL2348772/A.2.5.3/2021-05-13,2021-05-13,good
EPIISL2348773/B.1.526/2021-05-13,2021-05-13,good
EPIISL2348776/B.1.1.7/2021-05-12,2021-05-12,good
EPIISL2348777/B.1.1.7/2021-05-12,2021-05-12,good
EPIISL2348779/B.1.1.7/2021-05-13,2021-05-13,good
EPIISL2348780/B.1.1.7/2021-05-13,2021-05-13,good
EPIISL2348781/A.2.5.3/2021-05-13,2021-05-13,good
EPIISL2348782/A.2.5.3/2021-05-13,2021-05-13,good
EPIISL2348783/B.1.1.348/2021-05-13,2021-05-13,good
EPIISL2348784/B.1.1.348/2021-05-13,2021-05-13,good
EPIISL2348785/B.1.1.348/2021-05-08,2021-05-08,good
EPIISL2348786/B.1.1.7/2021-05-16,2021-05-16,good
EPIISL2348787/B.1.1.411/2021-05-23,2021-05-23,good
EPIISL2348790/P.1/2021-04-30,2021-04-30,good
EPIISL2348791/B.1.526/2021-04-16,2021-04-16,good
EPIISL2361461/P.1/2021-05-02,2021-05-02,good
EPIISL2361482/B.1.1.7/2021-05-20,2021-05-20,good
EPIISL2405145/B.1.526/2021-05-21,2021-05-21,good
EPIISL2405147/A.2.5.3/2021-05-26,2021-05-26,good
EPIISL2405148/B.1/2021-05-27,2021-05-27,good
EPIISL2405149/B.1.526/2021-05-27,2021-05-27,good
EPIISL2405150/B.1.1/2021-05-27,2021-05-27,good
EPIISL2405151/B.1.526/2021-05-26,2021-05-26,good
EPIISL2405152/B.1.526/2021-05-17,2021-05-17,good
EPIISL2405153/B.1.526/2021-05-27,2021-05-27,good
EPIISL2405154/B.1.1.7/2021-05-26,2021-05-26,good
EPIISL2405156/B.1.526/2021-05-26,2021-05-26,good
EPIISL2405157/B.1.526/2021-05-14,2021-05-14,good
EPIISL2405158/B.1.1.7/2021-05-26,2021-05-26,good
EPIISL2405160/B.1.1.7/2021-05-26,2021-05-26,good
EPIISL2405164/B.1/2021-05-26,2021-05-26,good
EPIISL2405165/B.1.530/2021-05-27,2021-05-27,good
EPIISL2405166/B.1.526/2021-05-26,2021-05-26,good
EPIISL2423535/P.1/2021-05-25,2021-05-25,good
EPIISL2458114/P.1/2021-05-08,2021-05-08,good
EPIISL2458115/P.1/2021-05-12,2021-05-12,good
