node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
518,519,0.117811987732218,-79.9159160267535,-2.00838813724799,-79.8919719629537,-2.05425728497304,0.117811987732218,0,2019.86700048183,2019.98481246957
518,576,0.0842763372861928,-79.9159160267535,-2.00838813724799,-79.8923782420818,-2.05460498922253,0.0842763372861928,0,2019.86700048183,2019.95127681912
576,577,0.014965508245431,-79.8923782420818,-2.05460498922253,-79.8931543650991,-2.05488707719427,0.0992418455316237,0.0842763372861928,2019.95127681912,2019.96624232737
577,578,0.00210820061944639,-79.8931543650991,-2.05488707719427,-79.8937018400793,-2.05497312797661,0.10135004615107,0.0992418455316237,2019.96624232737,2019.96835052799
578,579,0.00628108123176996,-79.8937018400793,-2.05497312797661,-79.8935426756411,-2.05513436639745,0.10763112738284,0.10135004615107,2019.96835052799,2019.97463160922
577,732,0.00929864259845581,-79.8931543650991,-2.05488707719427,-79.8934048430842,-2.05616492937981,0.10854048813008,0.0992418455316237,2019.96624232737,2019.97554096996
732,891,0.00702058639384351,-79.8934048430842,-2.05616492937981,-79.8930090099657,-2.05652079730107,0.115561074523923,0.10854048813008,2019.97554096996,2019.98256155636
579,592,0.00960116088880514,-79.8935426756411,-2.05513436639745,-79.8939254061155,-2.05503066618323,0.117232288271645,0.10763112738284,2019.97463160922,2019.98423277011
891,974,0.00501220885512965,-79.8930090099657,-2.05652079730107,-79.892968193102,-2.05579868821957,0.120573283379053,0.115561074523923,2019.98256155636,2019.98757376521
732,733,0.0123234561512033,-79.8934048430842,-2.05616492937981,-79.8896688858672,-2.05718727975064,0.120863944281283,0.10854048813008,2019.97554096996,2019.98786442612
578,707,0.0198168899509346,-79.8937018400793,-2.05497312797661,-79.894718491107,-2.05436056268227,0.121166936102005,0.10135004615107,2019.96835052799,2019.98816741794
891,892,0.00603243737138826,-79.8930090099657,-2.05652079730107,-79.8930402433762,-2.05702283065088,0.121593511895311,0.115561074523923,2019.98256155636,2019.98859399373
592,593,0.00452871969932223,-79.8939254061155,-2.05503066618323,-79.8937190670638,-2.05525510019854,0.121761007970967,0.117232288271645,2019.98423277011,2019.98876148981
733,734,0.00166096369489188,-79.8896688858672,-2.05718727975064,-79.8909325718484,-2.05660034686474,0.122524907976175,0.120863944281283,2019.98786442612,2019.98952538981
593,594,0.00112630028146832,-79.8937190670638,-2.05525510019854,-79.8934616774872,-2.05499801145581,0.122887308252436,0.121761007970967,2019.98876148981,2019.98988779009
707,714,0.0026372722213579,-79.894718491107,-2.05436056268227,-79.8949492878449,-2.05450089510792,0.123804208323363,0.121166936102005,2019.98816741794,2019.99080469016
733,803,0.00330811699469025,-79.8896688858672,-2.05718727975064,-80.6730597565977,-1.0039385395404,0.124172061275973,0.120863944281283,2019.98786442612,2019.99117254311
974,975,0.00468071978148488,-79.892968193102,-2.05579868821957,-79.8926260607389,-2.05604589412071,0.125254003160538,0.120573283379053,2019.98757376521,2019.992254485
593,670,0.00371746011851815,-79.8937190670638,-2.05525510019854,-79.8936156323703,-2.05504083071709,0.125478468089486,0.121761007970967,2019.98876148981,2019.99247894992
519,520,0.00786951975887429,-79.8919719629537,-2.05425728497304,-79.8077138563192,-1.02282952764403,0.125681507491092,0.117811987732218,2019.98481246957,2019.99268198933
594,615,0.00396499087828484,-79.8934616774872,-2.05499801145581,-79.8916576906071,-2.05293806937549,0.126852299130721,0.122887308252436,2019.98988779009,2019.99385278097
738,739,-0.00392529220829585,-79.8928426950661,-2.05575968573075,-79.5440354814826,-1.48933573815146,0.126970332747749,0.130895624956045,2019.99789610679,2019.99397081458
734,735,0.00512060523704105,-79.8909325718484,-2.05660034686474,-79.8923069538011,-2.05542540936421,0.127645513213216,0.122524907976175,2019.98952538981,2019.99464599505
670,678,0.00233778229450476,-79.8936156323703,-2.05504083071709,-79.8932897983133,-2.05516330189976,0.12781625038399,0.125478468089486,2019.99247894992,2019.99481673222
678,679,0.000461821492832026,-79.8932897983133,-2.05516330189976,-79.8932092220353,-2.05525320776715,0.128278071876822,0.12781625038399,2019.99481673222,2019.99527855371
576,992,0.0441275161018475,-79.8923782420818,-2.05460498922253,-80.3911624304074,-2.14359727202078,0.12840385338804,0.0842763372861928,2019.95127681912,2019.99540433522
679,680,0.000179741070160944,-79.8932092220353,-2.05525320776715,-79.8931377293537,-2.05542984291714,0.128457812946983,0.128278071876822,2019.99527855371,2019.99545829478
615,616,0.00188291375476068,-79.8916576906071,-2.05293806937549,-79.8917318436113,-2.05273724201473,0.128735212885481,0.126852299130721,2019.99385278097,2019.99573569472
616,620,0.000222090416724718,-79.8917318436113,-2.05273724201473,-79.1836157253699,-0.252785888255415,0.128957303302206,0.128735212885481,2019.99573569472,2019.99595778514
892,893,0.00741784898748077,-79.8930402433762,-2.05702283065088,-79.892601830866,-2.05553788120137,0.129011360882792,0.121593511895311,2019.98859399373,2019.99601184272
579,580,0.021476440365941,-79.8935426756411,-2.05513436639745,-79.8919911835994,-2.05466027124832,0.129107567748781,0.10763112738284,2019.97463160922,2019.99610804958
739,763,0.00242941412754272,-79.5440354814826,-1.48933573815146,-79.5446778763001,-1.49000699102618,0.129399746875292,0.126970332747749,2019.99397081458,2019.99640022871
678,688,0.00165895845519926,-79.8932897983133,-2.05516330189976,-79.8940115357712,-2.05756031501226,0.12947520883919,0.12781625038399,2019.99481673222,2019.99647569067
670,671,0.00410768140454332,-79.8936156323703,-2.05504083071709,-79.8946799232445,-2.0558749823635,0.129586149494029,0.125478468089486,2019.99247894992,2019.99658663133
803,839,0.00542961738413195,-80.6730597565977,-1.0039385395404,-80.6733097253626,-1.00453635726575,0.129601678660105,0.124172061275973,2019.99117254311,2019.99660216049
620,621,0.000838970358710056,-79.1836157253699,-0.252785888255415,-79.1868115223972,-0.25320276734768,0.129796273660916,0.128957303302206,2019.99595778514,2019.9967967555
580,584,0.000796630618014937,-79.8919911835994,-2.05466027124832,-79.891689873588,-2.05450287724087,0.129904198366796,0.129107567748781,2019.99610804958,2019.9969046802
893,916,0.000931917880666933,-79.892601830866,-2.05553788120137,-79.8919941679877,-2.05506574903722,0.129943278763459,0.129011360882792,2019.99601184272,2019.9969437606
592,697,0.0127360082838684,-79.8939254061155,-2.05503066618323,-79.8946088570511,-2.055950194554,0.129968296555514,0.117232288271645,2019.98423277011,2019.99696877839
916,923,0.000124524527698844,-79.8919941679877,-2.05506574903722,-79.8913522284902,-2.05506229616734,0.130067803291158,0.129943278763459,2019.9969437606,2019.99706828513
584,588,0.000268075759556452,-79.891689873588,-2.05450287724087,-79.8920923303342,-2.05556994015396,0.130172274126352,0.129904198366796,2019.9969046802,2019.99717275596
519,555,0.0123691866316556,-79.8919719629537,-2.05425728497304,-79.8919308959128,-2.0541775871347,0.130181174363874,0.117811987732218,2019.98481246957,2019.9971816562
803,804,0.00602291668077859,-80.6730597565977,-1.0039385395404,-80.6724659021604,-1.00413879600266,0.130194977956752,0.124172061275973,2019.99117254311,2019.99719545979
839,844,0.000602323820006467,-80.6733097253626,-1.00453635726575,-80.672892898452,-1.00455392088636,0.130204002480112,0.129601678660105,2019.99660216049,2019.99720448431
892,936,0.00866885678571205,-79.8930402433762,-2.05702283065088,-79.8922754410726,-2.05565975899503,0.130262368681023,0.121593511895311,2019.98859399373,2019.99726285052
916,917,0.000367652535001817,-79.8919941679877,-2.05506574903722,-79.8927255756687,-2.05486222175072,0.130310931298461,0.129943278763459,2019.9969437606,2019.99731141313
714,721,0.00654739190174125,-79.8949492878449,-2.05450089510792,-79.8927965802589,-2.05437658078796,0.130351600225104,0.123804208323363,2019.99080469016,2019.99735208206
844,845,0.00019345534443016,-80.672892898452,-1.00455392088636,-80.6728043759371,-1.00454420465986,0.130397457824542,0.130204002480112,2019.99720448431,2019.99739793966
594,595,0.00756627258137055,-79.8934616774872,-2.05499801145581,-79.8932221207852,-2.05486089559659,0.130453580833806,0.122887308252436,2019.98988779009,2019.99745406267
923,924,0.000396480980334624,-79.8913522284902,-2.05506229616734,-79.8950004606718,-2.055054950094,0.130464284271492,0.130067803291158,2019.99706828513,2019.99746476611
616,617,0.00173384019535106,-79.8917318436113,-2.05273724201473,-79.8903877491371,-2.05272299295639,0.130469053080832,0.128735212885481,2019.99573569472,2019.99746953492
975,986,0.00522476802164173,-79.8926260607389,-2.05604589412071,-79.8926971357522,-2.05550197035986,0.130478771182179,0.125254003160538,2019.992254485,2019.99747925302
936,942,0.000232208950822099,-79.8922754410726,-2.05565975899503,-79.8923092648441,-2.05567877770341,0.130494577631845,0.130262368681023,2019.99726285052,2019.99749505947
845,846,0.000135524551597599,-80.6728043759371,-1.00454420465986,-80.6728739880371,-1.0046842297331,0.130532982376139,0.130397457824542,2019.99739793966,2019.99753346421
846,860,6.19908584208462e-05,-80.6728739880371,-1.0046842297331,-80.6730173585456,-1.00459194511499,0.13059497323456,0.130532982376139,2019.99753346421,2019.99759545507
621,633,0.000835147850226536,-79.1868115223972,-0.25320276734768,-79.1861322109246,-0.254891447934293,0.130631421511143,0.129796273660916,2019.9967967555,2019.99763190335
936,937,0.000386290398300071,-79.8922754410726,-2.05565975899503,-79.8929708266112,-2.05642437774831,0.130648659079323,0.130262368681023,2019.99726285052,2019.99764914091
735,738,0.00325011174282941,-79.8923069538011,-2.05542540936421,-79.8928426950661,-2.05575968573075,0.130895624956045,0.127645513213216,2019.99464599505,2019.99789610679
520,543,0.0052943702359094,-79.8077138563192,-1.02282952764403,-78.8274575452287,0.00912032191144242,0.130975877727002,0.125681507491092,2019.99268198933,2019.99797635956
588,589,0.000851748294637966,-79.8920923303342,-2.05556994015396,-79.8919520339982,-2.05529666704889,0.13102402242099,0.130172274126352,2019.99717275596,2019.99802450426
923,927,0.000997323880927548,-79.8913522284902,-2.05506229616734,-79.8913424779097,-2.05524488606796,0.131065127172085,0.130067803291158,2019.99706828513,2019.99806560901
