name	nameseq	pangolineage	date	state
171448_S31/B.1.1/2020-12-17/MANABI	171448_S31	B.1.1	2020-12-17	MANABI
171456_S56/B.1.1/2020-12-17/EL_ORO	171456_S56	B.1.1	2020-12-17	EL_ORO
171466_S49/B.1.1/2020-12-17/MANABI	171466_S49	B.1.1	2020-12-17	MANABI
171470_S46/B.1.1/2020-12-17/MANABI	171470_S46	B.1.1	2020-12-17	MANABI
171496_S44/B.1.1/2020-12-17/MANABI	171496_S44	B.1.1	2020-12-17	MANABI
171497_S41/B.1.1/2020-12-16/MANABI	171497_S41	B.1.1	2020-12-16	MANABI
171503_S38/B.1.1/2020-12-16/MANABI	171503_S38	B.1.1	2020-12-16	MANABI
171521_S35/B.1.1/2020-12-17/EL_ORO	171521_S35	B.1.1	2020-12-17	EL_ORO
171524_S32/B.1.1/2020-12-17/EL_ORO	171524_S32	B.1.1	2020-12-17	EL_ORO
171534_S58/B.1.1/2020-12-17/EL_ORO	171534_S58	B.1.1	2020-12-17	EL_ORO
173398_S17/B.1.1/2020-12-22/CHIMBORAZO	173398_S17	B.1.1	2020-12-22	CHIMBORAZO
173417_S19/B.1.1/2020-12-23/EL_ORO	173417_S19	B.1.1	2020-12-23	EL_ORO
173440_S21/B.1.1/2020-12-22/PICHINCHA	173440_S21	B.1.1	2020-12-22	PICHINCHA
173501_S22/B.1.1/2020-12-22/CHIMBORAZO	173501_S22	B.1.1	2020-12-22	CHIMBORAZO
173525_S24/B.1.1/2020-12-22/BOLIVAR	173525_S24	B.1.1	2020-12-22	BOLIVAR
173668_S12/B.1.1/2020-12-23/EL_ORO	173668_S12	B.1.1	2020-12-23	EL_ORO
173675_S13/B.1.1/2020-12-23/EL_ORO	173675_S13	B.1.1	2020-12-23	EL_ORO
173687_S15/B.1.1/2020-12-23/EL_ORO	173687_S15	B.1.1	2020-12-23	EL_ORO
173688_S16/B.1.1/2020-12-23/EL_ORO	173688_S16	B.1.1	2020-12-23	EL_ORO
173689_S77/B.1.1/2020-12-23/EL_ORO	173689_S77	B.1.1	2020-12-23	EL_ORO
173720_S95/B.1.1/2020-12-23/EL_ORO	173720_S95	B.1.1	2020-12-23	EL_ORO
173753_S1/B.1.1/2020-12-23/LOS_RIOS	173753_S1	B.1.1	2020-12-23	LOS_RIOS
173760_S2/B.1.1/2020-12-23/EL_ORO	173760_S2	B.1.1	2020-12-23	EL_ORO
173766_S3/B.1.1/2020-12-23/EL_ORO	173766_S3	B.1.1	2020-12-23	EL_ORO
173860_S94/B.1.1/2020-12-21/ZAMORA_CHINCHIPE	173860_S94	B.1.1	2020-12-21	ZAMORA_CHINCHIPE
173863_S78/B.1.1/2020-12-21/ZAMORA_CHINCHIPE	173863_S78	B.1.1	2020-12-21	ZAMORA_CHINCHIPE
173865_S79/B.1.1/2020-12-21/ZAMORA_CHINCHIPE	173865_S79	B.1.1	2020-12-21	ZAMORA_CHINCHIPE
173866_S80/B.1.1/2020-12-21/ZAMORA_CHINCHIPE	173866_S80	B.1.1	2020-12-21	ZAMORA_CHINCHIPE
173867_S81/B.1.1/2020-12-21/ZAMORA_CHINCHIPE	173867_S81	B.1.1	2020-12-21	ZAMORA_CHINCHIPE
173895_S83/B.1.1/2020-12-22/LOJA	173895_S83	B.1.1	2020-12-22	LOJA
173905_S84/B.1.1/2020-12-22/LOJA	173905_S84	B.1.1	2020-12-22	LOJA
173994_S72/B.1.1/2020-12-23/SANTA_ELENA	173994_S72	B.1.1	2020-12-23	SANTA_ELENA
174059_S75/B.1.1/2020-12-23/GUAYAS	174059_S75	B.1.1	2020-12-23	GUAYAS
174079_S76/B.1.1/2020-12-23/GUAYAS	174079_S76	B.1.1	2020-12-23	GUAYAS
174091_S58/B.1.1/2020-12-24/GUAYAS	174091_S58	B.1.1	2020-12-24	GUAYAS
174097_S60/B.1.1/2020-12-22/MANABI	174097_S60	B.1.1	2020-12-22	MANABI
174104_S61/B.1.1/2020-12-23/MANABI	174104_S61	B.1.1	2020-12-23	MANABI
174105_S62/B.1.1/2020-12-23/MANABI	174105_S62	B.1.1	2020-12-23	MANABI
174106_S63/B.1.1/2020-12-23/MANABI	174106_S63	B.1.1	2020-12-23	MANABI
174107_S64/B.1.1/2020-12-23/MANABI	174107_S64	B.1.1	2020-12-23	MANABI
174108_S65/B.1.1/2020-12-23/MANABI	174108_S65	B.1.1	2020-12-23	MANABI
174112_S66/B.1.1/2020-12-23/MANABI	174112_S66	B.1.1	2020-12-23	MANABI
174118_S47/B.1.1/2020-12-22/MANABI	174118_S47	B.1.1	2020-12-22	MANABI
174120_S49/B.1.1/2020-12-22/MANABI	174120_S49	B.1.1	2020-12-22	MANABI
174125_S50/B.1.1/2020-12-23/MANABI	174125_S50	B.1.1	2020-12-23	MANABI
174150_S52/B.1.1/2020-12-23/MANABI	174150_S52	B.1.1	2020-12-23	MANABI
174152_S53/B.1.1/2020-12-23/MANABI	174152_S53	B.1.1	2020-12-23	MANABI
174177_S55/B.1.1/2020-12-23/SANTA_ELENA	174177_S55	B.1.1	2020-12-23	SANTA_ELENA
174182_S37/B.1.1/2020-12-23/SANTA_ELENA	174182_S37	B.1.1	2020-12-23	SANTA_ELENA
174192G5_S39/B.1.1/2020-12-24/GUAYAS	174192G5_S39	B.1.1	2020-12-24	GUAYAS
174195_S42/B.1.1/2020-12-24/GUAYAS	174195_S42	B.1.1	2020-12-24	GUAYAS
174201_S44/B.1.1/2020-12-23/GUAYAS	174201_S44	B.1.1	2020-12-23	GUAYAS
174203_S45/B.1.1/2020-12-23/GUAYAS	174203_S45	B.1.1	2020-12-23	GUAYAS
