node1,node2,length,startLon,startLat,endLon,endLat,startNodeL,endNodeL,startYear,endYear
517,518,0.0434495148030203,-79.9250663111114,-2.01021297028805,-79.8922026883964,-2.05386940455555,1.04950762117777,0.9812563245194,2019.94502789795,2020.01327919461
517,572,0.00143776368000736,-79.9250663111114,-2.01021297028805,-79.8928038441753,-2.05427894532841,1.04950762117777,1.02730505436527,2019.94502789795,2019.96723046476
572,573,0.00425384414824403,-79.8928038441753,-2.05427894532841,-79.8976249928687,-2.05495170354299,1.02730505436527,1.01478392601731,2019.96723046476,2019.97975159311
573,596,0.014201651013753,-79.8976249928687,-2.05495170354299,-79.8929438504658,-2.05397448165315,1.01478392601731,1.00058227500356,2019.97975159311,2019.99395324412
596,597,0.0163358916558495,-79.8929438504658,-2.05397448165315,-79.8934502173194,-2.05251170698997,1.00058227500356,0.990176016036065,2019.99395324412,2020.00435950309
572,999,0.0308792460880003,-79.8928038441753,-2.05427894532841,-79.8941423951729,-2.05543344883991,1.02730505436527,0.988638540115459,2019.96723046476,2020.00589697901
999,1008,0.00689751300156116,-79.8941423951729,-2.05543344883991,-79.8948053992861,-2.0554722055798,0.988638540115459,0.981261011075993,2020.00589697901,2020.01327450805
596,808,0.0198569942460781,-79.8929438504658,-2.05397448165315,-79.8926875400161,-2.05526730859553,1.00058227500356,0.980386439324711,2019.99395324412,2020.0141490798
660,661,-0.00295373837369473,-79.8937277489278,-2.05252834656957,-79.8934431174511,-2.05152511189226,0.978419022703017,0.980137531150215,2020.01611649642,2020.01439798798
808,809,0.00101707003513274,-79.8926875400161,-2.05526730859553,-79.8932130755856,-2.05507500374623,0.980386439324711,0.979708210722346,2020.0141490798,2020.0148273084
597,598,0.00399196901265975,-79.8934502173194,-2.05251170698997,-79.8937797440521,-2.05265234616232,0.990176016036065,0.979088512847021,2020.00435950309,2020.01544700628
661,671,0.00298120430304127,-79.8934431174511,-2.05152511189226,-80.6406369091489,-1.04757598472218,0.980137531150215,0.978625903945123,2020.01439798798,2020.01590961518
597,660,0.00653263760534029,-79.8934502173194,-2.05251170698997,-79.8937277489278,-2.05252834656957,0.990176016036065,0.978419022703017,2020.00435950309,2020.01611649642
809,810,0.00260219589575994,-79.8932130755856,-2.05507500374623,-79.8928349589305,-2.0551164330942,0.979708210722346,0.97719116964051,2020.0148273084,2020.01734434949
813,814,-0.00826808808486268,-79.8214409456255,-3.53695625129517,-79.8543209704868,-3.51447219959029,0.973941257509717,0.976522802618253,2020.02059426162,2020.01801271651
573,574,0.040466871503385,-79.8976249928687,-2.05495170354299,-78.8901061787028,-1.88004866312029,1.01478392601731,0.975989604267531,2019.97975159311,2020.01854591486
518,519,0.00359631658196791,-79.8922026883964,-2.05386940455555,-79.8926290829558,-2.05424584827269,0.9812563245194,0.97504034531955,2020.01327919461,2020.01949517381
811,812,-0.00117429988696316,-79.8922133063396,-2.05520710042951,-79.8927868767106,-2.05544778722673,0.973814894208422,0.974989253007184,2020.02072062492,2020.01954626612
598,599,0.00534806077640404,-79.8937797440521,-2.05265234616232,-79.8939182226531,-2.05261671361634,0.979088512847021,0.974906353558644,2020.01544700628,2020.01962916557
519,520,0.000605220162163356,-79.8926290829558,-2.05424584827269,-79.8931417646391,-2.05439853767343,0.97504034531955,0.974661858585154,2020.01949517381,2020.01987366054
1008,1012,0.006965337408533,-79.8948053992861,-2.0554722055798,-79.8942305587335,-2.05562411365378,0.981261011075993,0.97429567366746,2020.01327450805,2020.02023984546
812,813,0.00239220847622368,-79.8927868767106,-2.05544778722673,-79.8214409456255,-3.53695625129517,0.974989253007184,0.973941257509717,2020.01954626612,2020.02059426162
810,811,0.00329112061816472,-79.8928349589305,-2.0551164330942,-79.8922133063396,-2.05520710042951,0.97719116964051,0.973814894208422,2020.01734434949,2020.02072062492
671,672,0.0037145745847742,-80.6406369091489,-1.04757598472218,-80.6733606605899,-1.00370600036832,0.978625903945123,0.973726249684893,2020.01590961518,2020.02080926944
859,860,-0.00188390752177503,-79.8923267355015,-2.05534656149055,-78.3139892694143,0.421538068078356,0.969434472238261,0.973380276419845,2020.02510104689,2020.02115524271
811,855,0.000839834125307082,-79.8922133063396,-2.05520710042951,-79.8921793435147,-2.05517534956075,0.973814894208422,0.972975060083115,2020.02072062492,2020.02156045904
813,836,0.00415234175436574,-79.8214409456255,-3.53695625129517,-79.8532039074513,-3.5145469886763,0.973941257509717,0.972879018896303,2020.02059426162,2020.02165650023
574,575,0.00267943862963793,-78.8901061787028,-1.88004866312029,-79.1205577107835,-1.60343168824329,0.975989604267531,0.972280108977174,2020.01854591486,2020.02225541015
660,775,0.00508414946129609,-79.8937277489278,-2.05252834656957,-79.8933582809308,-2.05212151817253,0.978419022703017,0.972268876009101,2020.01611649642,2020.02226664312
689,691,0.000981340071978254,-80.6738563427569,-1.00312331136474,-79.1841571191587,-0.255506621451745,0.972061823246324,0.9721737674384,2020.02247369588,2020.02236175169
599,625,0.0040841383270952,-79.8939182226531,-2.05261671361634,-79.5440655155475,-1.488277697006,0.974906353558644,0.972141035707162,2020.01962916557,2020.02239448342
688,689,-0.000175834227721716,-80.6733860792464,-1.00339980970548,-80.6738563427569,-1.00312331136474,0.972020598615918,0.972061823246324,2020.02251492051,2020.02247369588
672,688,0.00208571620964404,-80.6733606605899,-1.00370600036832,-80.6733860792464,-1.00339980970548,0.973726249684893,0.972020598615918,2020.02080926944,2020.02251492051
