time	velocity	number_of_branches
2014.62966720276	94.7668639295733	0
2014.64240968187	90.5757089473714	0
2014.65515216098	90.5757293826433	0
2014.66789464009	90.575745381792	0
2014.6806371192	90.5757612464006	0
2014.69337959832	90.5757770078858	0
2014.70612207743	90.5757926528027	0
2014.71886455654	90.5758081819583	0
2014.73160703565	91.2856881791972	0
2014.74434951476	109.929519897705	0
2014.75709199387	107.998692556122	0
2014.76983447299	107.998721984043	0
2014.7825769521	107.998751195347	0
2014.79531943121	107.998780190527	0
2014.80806191032	107.998808945989	0
2014.82080438943	107.998837446489	0
2014.83354686855	107.998865722906	0
2014.84628934766	107.998893749359	0
2014.85903182677	107.998921536623	0
2014.87177430588	107.998949084081	0
2014.88451678499	107.998976389898	0
2014.8972592641	107.999003455694	0
2014.91000174322	103.925648600177	0
2014.92274422233	101.524327071577	0
2014.93548670144	101.524347636382	0
2014.94822918055	97.6366938537352	0
2014.96097165966	98.1348721120932	0
2014.97371413878	98.1348938894659	0
2014.98645661789	98.1349155001864	0
2014.999199097	98.1349369841396	0
2015.01194157611	98.1349583662634	0
2015.02468405522	98.1349796159354	0
2015.03742653434	98.1350007504224	0
2015.05016901345	98.1350217692184	0
2015.06291149256	97.5460246180863	0
2015.07565397167	97.5460359884842	0
2015.08839645078	97.5460471149716	0
2015.10113892989	97.5460581336734	0
2015.11388140901	97.5460690154612	0
2015.12662388812	96.4596694662231	0
2015.13936636723	96.4596795605294	0
2015.15210884634	132.092015437344	0
2015.16485132545	132.092029024104	0
2015.17759380457	129.04378787691	0
2015.19033628368	129.043797916341	0
2015.20307876279	121.215950873467	0
2015.2158212419	116.779017138609	0
2015.22856372101	116.779018376878	0
2015.24130620013	116.779019826626	0
2015.25404867924	116.77902119013	0
2015.26679115835	116.77902258994	0
2015.27953363746	116.779023943465	0
2015.29227611657	116.779025249756	0
2015.30501859568	116.779026517835	0
2015.3177610748	119.054677762612	0
2015.33050355391	119.05471784854	0
2015.34324603302	119.054757472609	0
2015.35598851213	119.054796664112	0
2015.36873099124	119.054835442408	0
2015.38147347036	119.054873797501	0
2015.39421594947	119.054911732466	0
2015.40695842858	119.054949242457	0
2015.41970090769	117.351452092522	0
2015.4324433868	115.062403326108	0
2015.44518586591	115.06243715326	0
2015.45792834503	115.062470635801	0
2015.47067082414	116.103338537019	0
2015.48341330325	112.426616121788	0
2015.49615578236	109.89376691555	0
2015.50889826147	109.893798240023	0
2015.52164074059	107.92625752135	0
2015.5343832197	107.92626402475	0
2015.54712569881	107.926271022915	0
2015.55986817792	103.755986685508	0
2015.57261065703	103.755992442126	0
2015.58535313615	103.755999243585	0
2015.59809561526	103.756006035073	0
2015.61083809437	103.756012793583	0
2015.62358057348	103.756019540468	0
2015.63632305259	101.925016946396	0
2015.6490655317	110.937380300424	0
2015.66180801082	110.937381969206	0
2015.67455048993	110.937383587143	0
2015.68729296904	110.215106184278	0
2015.70003544815	108.210445745637	0
2015.71277792726	106.46256329863	0
2015.72552040638	107.863367821071	0
2015.73826288549	107.863369407667	0
2015.7510053646	104.860773935457	0
2015.76374784371	103.97481401022	0
2015.77649032282	103.974816894217	0
2015.78923280194	103.393968036138	0
2015.80197528105	102.013454857296	0
2015.81471776016	102.013456605874	0
2015.82746023927	101.281588379378	0
2015.84020271838	101.281589631331	0
2015.85294519749	101.281590837805	0
2015.86568767661	101.06911879523	0
2015.87843015572	101.069121093715	0
2015.89117263483	101.069122759451	0
2015.90391511394	99.4237365578326	0
2015.91665759305	99.4237414412603	0
2015.92940007217	99.4237449726066	0
2015.94214255128	99.4237486415302	0
2015.95488503039	100.243639302787	0
2015.9676275095	100.243642682306	0
2015.98036998861	101.691989031988	0
2015.99311246772	117.57623226071	0
2016.00585494684	115.273932768257	0
2016.01859742595	114.231383305933	0
2016.03133990506	115.470049673304	0
2016.04408238417	113.094313750346	0
2016.05682486328	112.11608340969	0
2016.0695673424	110.874903653938	0
2016.08230982151	109.996641502799	0
2016.09505230062	108.981108627753	0
2016.10779477973	108.981111102774	0
2016.12053725884	108.981113502451	0
2016.13327973796	106.700559484821	0
2016.14602221707	106.700561723175	0
2016.15876469618	104.60054662591	0
2016.17150717529	103.727659086636	0
2016.1842496544	103.208915216752	0
2016.19699213351	103.208916766833	0
2016.20973461263	103.208918975861	0
2016.22247709174	102.1594217469	0
2016.23521957085	102.159424415991	0
2016.24796204996	104.190028538564	0
2016.26070452907	102.787199700852	0
2016.27344700819	102.787203606055	0
2016.2861894873	100.914100423013	0
2016.29893196641	100.914105651902	0
2016.31167444552	126.413378684882	0
2016.32441692463	124.995621905812	0
2016.33715940375	123.509356371002	0
2016.34990188286	123.509362203826	0
2016.36264436197	123.509368082209	0
2016.37538684108	122.86596657388	0
2016.38812932019	121.954202283334	0
2016.4008717993	121.954209117776	0
2016.41361427842	121.954215938676	0
2016.42635675753	121.95422271208	0
2016.43909923664	121.954229443754	0
2016.45184171575	121.954236128324	0
2016.46458419486	121.954242589031	0
2016.47732667398	123.347746090538	0
2016.49006915309	123.347753278987	0
2016.5028116322	123.347760320171	0
2016.51555411131	119.879387792679	0
2016.52829659042	119.879394200125	0
2016.54103906953	119.105974934272	0
2016.55378154865	120.252530934421	0
2016.56652402776	124.142489407483	0
