time	distance
2014.6232959632	0
2014.63603844231	0.0040912316023691
2014.64878092142	0.0081824646678873
2014.66152340054	0.012273699170009
2014.67426587965	0.0163649350958051
2014.68700835876	0.0204561724226314
2014.69975083787	0.024547411134321
2014.71249331698	0.0286386512165577
2014.72523579609	0.0330249172048663
2014.73797827521	0.0374498247209251
2014.75072075432	0.0418747335593134
2014.76346323343	0.0458578099491739
2014.77620571254	0.0479421033902985
2014.78894819165	0.0500263955954296
2014.80169067077	0.0521106865893304
2014.81443314988	0.054194976386604
2014.82717562899	0.0562792650132179
2014.8399181081	0.0583635524140119
2014.85266058721	0.0604478386248681
2014.86540306633	0.0625321236290991
2014.87814554544	0.0646164074342761
2014.89088802455	0.0667006900296365
2014.90363050366	0.0687849714159028
2014.91637298277	0.0708692515878716
2014.92911546188	0.0729535305499667
2014.941857941	0.0750378082937355
2014.95460042011	0.0771818632280596
2014.96734289922	0.079348769784645
2014.98008537833	0.0815156749984656
2014.99282785744	0.083682578907899
2015.00557033656	0.0858494814803893
2015.01831281567	0.0880163827447081
2015.03105529478	0.0901832827022987
2015.04379777389	0.0923501813203875
2015.056540253	0.0945170786261108
2015.06928273212	0.0966839745992278
2015.08202521123	0.0988508692609104
2015.09476769034	0.101017762585854
2015.10751016945	0.103184654575268
2015.12025264856	0.105351545245923
2015.13299512767	0.107518434575249
2015.14573760679	0.109685322568535
2015.1584800859	0.111852209231526
2015.17122256501	0.114019094550574
2015.18396504412	0.116185978531252
2015.19670752323	0.118352861167902
2015.20945000235	0.120519742462087
2015.22219248146	0.122686622407877
2015.23493496057	0.124853501007654
2015.24767743968	0.127020378258674
2015.26041991879	0.129187254156317
2015.2731623979	0.13135412869883
2015.28590487702	0.133521001890215
2015.29864735613	0.135687873723625
2015.31138983524	0.137854744196277
2015.32413231435	0.140021613312721
2015.33687479346	0.142188481065672
2015.34961727258	0.144355347454429
2015.36235975169	0.146522212473061
2015.3751022308	0.14868907612942
2015.38784470991	0.15085593841629
2015.40058718902	0.15302279932988
2015.41332966814	0.155189658869168
2015.42607214725	0.157356517038816
2015.43881462636	0.159523373825937
2015.45155710547	0.161690229237049
2015.46429958458	0.163857083267677
2015.47704206369	0.177757074439778
2015.48978454281	0.195398000555636
2015.50252702192	0.216068617655787
2015.51526950103	0.224138273197775
2015.52801198014	0.230905307056764
2015.54075445925	0.237672353443401
2015.55349693837	0.244439412205942
2015.56623941748	0.251206483198646
2015.57898189659	0.257973566273756
2015.5917243757	0.264740661292803
2015.60446685481	0.27150776810779
2015.61720933393	0.278274886574233
2015.62995181304	0.285042016549914
2015.64269429215	0.291694115433243
2015.65543677126	0.297313218071517
2015.66817925037	0.302932334726738
2015.68092172948	0.308551465304146
2015.6936642086	0.314170609678748
2015.70640668771	0.319789767723627
2015.71914916682	0.325408939291137
2015.73189164593	0.331028124267433
2015.74463412504	0.336647322510385
2015.75737660416	0.342266533887654
2015.77011908327	0.347885758269158
2015.78286156238	0.353504995522281
2015.79560404149	0.359124245518931
2015.8083465206	0.366589865468137
2015.82108899971	0.375675170663473
2015.83383147883	0.387160239720515
2015.84657395794	0.398645350806763
2015.85931643705	0.410130503378919
2015.87205891616	0.421615696890767
2015.88480139527	0.433100930795545
2015.89754387439	0.444586204550002
2015.9102863535	0.45607151760745
2015.92302883261	0.465804116575501
2015.93577131172	0.471951839020954
2015.94851379083	0.478099570621173
2015.96125626995	0.484247311243123
2015.97399874906	0.490395060746766
2015.98674122817	0.496542819006272
2015.99948370728	0.502690585874701
2016.01222618639	0.508838361222402
2016.0249686655	0.51498614490981
2016.03771114462	0.521133936804166
2016.05045362373	0.527281736761876
2016.06319610284	0.533429544656852
2016.07593858195	0.53957736034546
2016.08868106106	0.545725183693885
2016.10142354018	0.551873014566314
2016.11416601929	0.558020852826674
2016.1269084984	0.564168698336181
2016.13965097751	0.570316550961011
2016.15239345662	0.576464410563385
2016.16513593574	0.582612277008186
2016.17787841485	0.589951235626482
2016.19062089396	0.596848264394119
2016.20336337307	0.603745304267362
2016.21610585218	0.608495756774659
2016.22884833129	0.611714999679407
2016.24159081041	0.614934245390599
2016.25433328952	0.618153493885779
2016.26707576863	0.621372745141177
2016.27981824774	0.624591999152927
2016.29256072685	0.628121382243373
2016.30530320597	0.631938905548679
2016.31804568508	0.635756425170255
2016.33078816419	0.63957394108819
2016.3435306433	0.643391453280883
2016.35627312241	0.647208961724913
2016.36901560152	0.651026466392687
2016.38175808064	0.660978540713252
2016.39450055975	0.675045930625523
2016.40724303886	0.689113489194458
2016.41998551797	0.703181213242092
2016.43272799708	0.717249099586613
2016.4454704762	0.731317145051143
2016.45821295531	0.74538534645477
2016.47095543442	0.759453700622235
2016.48369791353	0.773522204373163
2016.49644039264	0.787590854528144
2016.50918287176	0.801659647912675
2016.52192535087	0.814440309871043
2016.53466782998	0.816493813862975
2016.54741030909	0.818547318226807
2016.5601527882	0.820600823029764
2016.57289526731	0.822654328308833
2016.58563774643	0.824707834041221
2016.59838022554	0.826761340229233
2016.61112270465	0.828814846875346
2016.62386518376	0.830868353977302
2016.63660766287	0.832921861529326
2016.64935014199	0.834975369534638
2016.6620926211	0.837028877993151
2016.67483510021	0.839082386896223
2016.68757757932	0.841135896251516
2016.70032005843	0.84318940605466
2016.71306253755	0.84524291630338
2016.72580501666	0.847296426998441
2016.73854749577	0.849349938135474
2016.75128997488	0.851403449716233
2016.76403245399	0.853456961739264
2016.7767749331	0.855510474201624
2016.78951741222	0.857563987103001
2016.80225989133	0.859617500444644
2016.81500237044	0.861671014220937
