time	velocity	number_of_branches
2014.62966720276	94.7668639295733	0.044
2014.64240968187	90.5757089473714	0.048
2014.65515216098	90.5757293826433	0.048
2014.66789464009	90.575745381792	0.048
2014.6806371192	90.5757612464006	0.048
2014.69337959832	90.5757770078858	0.048
2014.70612207743	90.5757926528027	0.048
2014.71886455654	90.5758081819583	0.048
2014.73160703565	91.2856881791972	0.052
2014.74434951476	109.929519897705	0.056
2014.75709199387	107.998692556122	0.06
2014.76983447299	107.998721984043	0.06
2014.7825769521	107.998751195347	0.06
2014.79531943121	107.998780190527	0.06
2014.80806191032	107.998808945989	0.06
2014.82080438943	107.998837446489	0.06
2014.83354686855	107.998865722906	0.06
2014.84628934766	107.998893749359	0.06
2014.85903182677	107.998921536623	0.06
2014.87177430588	107.998949084081	0.06
2014.88451678499	107.998976389898	0.06
2014.8972592641	107.999003455694	0.06
2014.91000174322	103.925648600177	0.068
2014.92274422233	101.524327071577	0.072
2014.93548670144	101.524347636382	0.072
2014.94822918055	97.6366938537352	0.08
2014.96097165966	98.1348721120932	0.084
2014.97371413878	98.1348938894659	0.084
2014.98645661789	98.1349155001864	0.084
2014.999199097	98.1349369841396	0.084
2015.01194157611	98.1349583662634	0.084
2015.02468405522	98.1349796159354	0.084
2015.03742653434	98.1350007504224	0.084
2015.05016901345	98.1350217692184	0.084
2015.06291149256	97.5460246180863	0.088
2015.07565397167	97.5460359884842	0.088
2015.08839645078	97.5460471149716	0.088
2015.10113892989	97.5460581336734	0.088
2015.11388140901	97.5460690154612	0.088
2015.12662388812	96.4596694662231	0.092
2015.13936636723	96.4596795605294	0.092
2015.15210884634	132.092015437344	0.104
2015.16485132545	132.092029024104	0.104
2015.17759380457	129.04378787691	0.108
2015.19033628368	129.043797916341	0.108
2015.20307876279	121.215950873467	0.12
2015.2158212419	116.779017138609	0.124
2015.22856372101	116.779018376878	0.124
2015.24130620013	116.779019826626	0.124
2015.25404867924	116.77902119013	0.124
2015.26679115835	116.77902258994	0.124
2015.27953363746	116.779023943465	0.124
2015.29227611657	116.779025249756	0.124
2015.30501859568	116.779026517835	0.124
2015.3177610748	119.054677762612	0.128
2015.33050355391	119.05471784854	0.128
2015.34324603302	119.054757472609	0.128
2015.35598851213	119.054796664112	0.128
2015.36873099124	119.054835442408	0.128
2015.38147347036	119.054873797501	0.128
2015.39421594947	119.054911732466	0.128
2015.40695842858	119.054949242457	0.128
2015.41970090769	117.351452092522	0.132
2015.4324433868	115.062403326108	0.136
2015.44518586591	115.06243715326	0.136
2015.45792834503	115.062470635801	0.136
2015.47067082414	116.103338537019	0.144
2015.48341330325	112.426616121788	0.156
2015.49615578236	109.89376691555	0.16
2015.50889826147	109.893798240023	0.16
2015.52164074059	107.92625752135	0.164
2015.5343832197	107.92626402475	0.164
2015.54712569881	107.926271022915	0.164
2015.55986817792	103.755986685508	0.172
2015.57261065703	103.755992442126	0.172
2015.58535313615	103.755999243585	0.172
2015.59809561526	103.756006035073	0.172
2015.61083809437	103.756012793583	0.172
2015.62358057348	103.756019540468	0.172
2015.63632305259	101.925016946396	0.18
2015.6490655317	110.937380300424	0.184
2015.66180801082	110.937381969206	0.184
2015.67455048993	110.937383587143	0.184
2015.68729296904	110.215106184278	0.188
2015.70003544815	108.210445745637	0.196
2015.71277792726	106.46256329863	0.2
2015.72552040638	107.863367821071	0.198
2015.73826288549	107.863369407667	0.198
2015.7510053646	104.860773935457	0.208
2015.76374784371	103.97481401022	0.208
2015.77649032282	103.974816894217	0.208
2015.78923280194	103.393968036138	0.212
2015.80197528105	102.013454857296	0.216
2015.81471776016	102.013456605874	0.216
2015.82746023927	101.281588379378	0.22
2015.84020271838	101.281589631331	0.22
2015.85294519749	101.281590837805	0.22
2015.86568767661	101.06911879523	0.232
2015.87843015572	101.069121093715	0.232
2015.89117263483	101.069122759451	0.232
2015.90391511394	99.4237365578326	0.236
2015.91665759305	99.4237414412603	0.236
2015.92940007217	99.4237449726066	0.236
2015.94214255128	99.4237486415302	0.236
2015.95488503039	100.243639302787	0.234
2015.9676275095	100.243642682306	0.234
2015.98036998861	101.691989031988	0.242
2015.99311246772	117.57623226071	0.25
2016.00585494684	115.273932768257	0.258
2016.01859742595	114.231383305933	0.262
2016.03133990506	115.470049673304	0.266
2016.04408238417	113.094313750346	0.274
2016.05682486328	112.11608340969	0.282
2016.0695673424	110.874903653938	0.29
2016.08230982151	109.996641502799	0.294
2016.09505230062	108.981108627753	0.298
2016.10779477973	108.981111102774	0.298
2016.12053725884	108.981113502451	0.298
2016.13327973796	106.700559484821	0.306
2016.14602221707	106.700561723175	0.306
2016.15876469618	104.60054662591	0.314
2016.17150717529	103.727659086636	0.322
2016.1842496544	103.208915216752	0.324
2016.19699213351	103.208916766833	0.324
2016.20973461263	103.208918975861	0.324
2016.22247709174	102.1594217469	0.328
2016.23521957085	102.159424415991	0.328
2016.24796204996	104.190028538564	0.336
2016.26070452907	102.787199700852	0.352
2016.27344700819	102.787203606055	0.352
2016.2861894873	100.914100423013	0.364
2016.29893196641	100.914105651902	0.364
2016.31167444552	136.326298519399	0.372
2016.32441692463	135.853591232138	0.376
2016.33715940375	135.124092627525	0.384
2016.34990188286	135.123968093885	0.384
2016.36264436197	135.123840533659	0.384
2016.37538684108	134.611130027106	0.392
2016.38812932019	134.307076479546	0.396
2016.4008717993	134.808808442951	0.4
2016.41361427842	134.808674641795	0.4
2016.42635675753	134.808537903904	0.4
2016.43909923664	134.449378469721	0.404
2016.45184171575	134.449235689657	0.404
2016.46458419486	134.449089629221	0.404
2016.47732667398	133.85669287251	0.394
2016.49006915309	133.516570522846	0.398
2016.5028116322	133.347146991433	0.402
2016.51555411131	132.190864480883	0.398
2016.52829659042	132.19070539122	0.398
2016.54103906953	131.566202300995	0.406
2016.55378154865	131.948220501341	0.404
2016.56652402776	132.347327468069	0.416
2016.57926650687	131.775096097083	0.42
2016.59200898598	103.017321503936	0.432
2016.60475146509	102.906612306934	0.444
2016.61749394421	102.906524612818	0.444
2016.63023642332	91.1291578349492	0.448
2016.64297890243	98.0147590042573	0.452
2016.65572138154	96.987660185316	0.464
2016.66846386065	96.9875738322538	0.464
2016.68120633977	96.724828376117	0.468
2016.69394881888	92.751481169446	0.472
2016.70669129799	92.5039004709377	0.476
2016.7194337771	92.148776204942	0.48
2016.73217625621	91.9117622639437	0.482
2016.74491873532	90.4030598746561	0.488
2016.75766121444	89.2655086834105	0.488
2016.77040369355	87.0098639074101	0.492
2016.78314617266	87.0098236068664	0.492
2016.79588865177	87.0097837291833	0.492
2016.80863113088	87.0097431849171	0.492
2016.82137361	87.577653511091	0.5
2016.83411608911	87.5776116507689	0.5
2016.84685856822	87.1661754710968	0.508
2016.85960104733	87.118974476762	0.512
2016.87234352644	87.130922653105	0.52
2016.88508600556	86.674629110948	0.528
2016.89782848467	87.0356386495958	0.524
2016.91057096378	86.7169792194914	0.534
2016.92331344289	84.4431177316978	0.546
2016.936055922	84.5207105181768	0.558
2016.94879840111	84.9076095974793	0.552
2016.96154088023	84.8660497250064	0.558
2016.97428335934	74.2443595294787	0.566
2016.98702583845	73.8554666350274	0.576
2016.99976831756	73.855444537952	0.576
2017.01251079667	73.5526005562007	0.58
2017.02525327579	73.4306324680018	0.584
2017.0379957549	73.4306091415973	0.584
2017.05073823401	73.2221334838097	0.588
2017.06348071312	73.3203518175112	0.59
2017.07622319223	67.2266503024335	0.604
2017.08896567134	66.3687847327876	0.62
2017.10170815046	66.1572801364256	0.624
2017.11445062957	65.6596181241761	0.632
2017.12719310868	65.8307213684083	0.634
2017.13993558779	65.7309870569746	0.642
2017.1526780669	62.1011129053141	0.642
2017.16542054602	62.2405188623157	0.65
2017.17816302513	62.0928262207585	0.648
2017.19090550424	61.9803514457525	0.652
2017.20364798335	62.4632587670225	0.65
2017.21639046246	61.8744027587452	0.66
2017.22913294158	64.699938021377	0.672
2017.24187542069	59.6198160374585	0.684
2017.2546178998	58.2128166798247	0.7
2017.26736037891	58.3808763437795	0.704
2017.28010285802	58.2462522454211	0.708
2017.29284533713	57.8347587776299	0.712
2017.30558781625	57.4351821912664	0.728
2017.31833029536	58.5238793025986	0.738
2017.33107277447	59.3485219466242	0.762
2017.34381525358	68.2991806977747	0.774
2017.35655773269	68.299195029589	0.774
2017.36930021181	67.5356225786075	0.778
2017.38204269092	67.5763955477984	0.79
2017.39478517003	66.4897002927744	0.806
2017.40752764914	66.2693028414574	0.814
2017.42027012825	66.051019024879	0.82
2017.43301260737	66.0016862487053	0.822
2017.44575508648	66.1246158216628	0.83
2017.45849756559	65.0957673833661	0.842
2017.4712400447	65.1827757763023	0.85
2017.48398252381	64.8128264706781	0.84
2017.49672500292	64.4755574088958	0.848
2017.50946748204	63.684315375544	0.86
2017.52220996115	63.3477630083267	0.854
2017.53495244026	63.3389898740956	0.858
2017.54769491937	63.4084048828785	0.862
2017.56043739848	63.3164942232384	0.87
2017.5731798776	62.1966443089278	0.886
2017.58592235671	61.29700030259	0.9
2017.59866483582	59.8138166391639	0.916
2017.61140731493	61.0809856663514	0.928
2017.62414979404	60.8641231159604	0.932
2017.63689227315	60.9843497654057	0.938
2017.64963475227	61.5072657052355	0.94
2017.66237723138	61.3657443313576	0.948
2017.67511971049	60.5249741866474	0.968
2017.6878621896	60.389098107007	0.97
2017.70060466871	60.5469671914726	0.976
2017.71334714783	60.3812720897536	0.974
2017.72608962694	60.7291728770943	0.99
2017.73883210605	60.4800137983217	0.998
2017.75157458516	61.177266017492	1
2017.76431706427	62.1773180149893	1.014
2017.77705954339	63.9426544950634	1.018
2017.7898020225	63.1647948066116	1.03
2017.80254450161	63.5256175203485	1.028
2017.81528698072	63.0560688086825	1.036
2017.82802945983	68.1283619699784	1.042
2017.84077193894	71.0369355511502	1.062
2017.85351441806	70.9212586563038	1.066
2017.86625689717	70.5748478818178	1.078
2017.87899937628	70.0781471480047	1.086
2017.89174185539	70.0391612991417	1.094
2017.9044843345	69.4226154838749	1.1
2017.91722681362	69.3159485620863	1.108
2017.92996929273	69.3890001889625	1.112
2017.94271177184	70.0757540399936	1.136
2017.95545425095	70.0281089899945	1.14
2017.96819673006	70.0281123133607	1.14
2017.98093920918	68.9903302413783	1.154
2017.99368168829	68.806686210607	1.158
2018.0064241674	170.105552728566	1.162
2018.01916664651	169.650429821894	1.174
2018.03190912562	169.319507385976	1.18
2018.04465160473	171.899209377324	1.184
2018.05739408385	171.531634576436	1.2
2018.07013656296	171.275177099085	1.212
2018.08287904207	99.8848444636855	1.234
2018.09562152118	99.8322692985228	1.236
2018.10836400029	93.1811255476173	1.264
2018.12110647941	92.963385507833	1.284
2018.13384895852	92.9996275341024	1.28
2018.14659143763	92.8086641640157	1.292
2018.15933391674	93.9123311973725	1.3
2018.17207639585	489.819223252969	1.31
2018.18481887496	489.818776047611	1.314
2018.19756135408	489.52712604661	1.334
2018.21030383319	489.234179520707	1.354
2018.2230463123	489.991879493864	1.364
2018.23578879141	490.049457371441	1.368
2018.24853127052	352.892925383263	1.376
2018.26127374964	353.147530260362	1.388
2018.27401622875	352.760695217894	1.408
2018.28675870786	521.059699634391	1.412
2018.29950118697	521.039300767056	1.416
2018.31224366608	521.064903093364	1.444
2018.3249861452	412.186151203947	1.47
2018.33772862431	412.097366342824	1.492
2018.35047110342	412.225282415083	1.504
2018.36321358253	360.422645485547	1.526
2018.37595606164	360.35711316005	1.544
2018.38869854075	360.706876173764	1.554
2018.40144101987	308.45921114174	1.578
2018.41418349898	323.62620568702	1.61
2018.42692597809	323.686749130802	1.626
2018.4396684572	323.696146780741	1.638
2018.45241093631	311.438562564881	1.684
2018.46515341543	311.453636947165	1.708
2018.47789589454	288.537446845625	1.752
2018.49063837365	286.330376814636	1.798
2018.50338085276	286.008106985183	1.82
2018.51612333187	335.757417279689	1.844
2018.52886581099	335.370752048304	1.872
2018.5416082901	334.521627764666	1.89
2018.55435076921	319.870826279158	1.898
2018.56709324832	280.852841489432	1.924
2018.57983572743	261.640327029998	1.97
2018.59257820654	253.035841128761	2
2018.60532068566	189.599580448053	2.068
2018.61806316477	187.900831153666	2.122
2018.63080564388	171.816093074315	2.144
2018.64354812299	172.738505957249	2.176
2018.6562906021	118.640615220062	2.234
2018.66903308122	113.772326368985	2.278
2018.68177556033	104.203343546902	2.364
2018.69451803944	77.6063122975068	2.444
2018.70726051855	82.8892765725147	2.54
2018.72000299766	70.5404769149119	2.59
2018.73274547677	59.3495914503571	2.724
2018.74548795589	52.4787381785502	2.818
2018.758230435	64.1073441241572	2.898
2018.77097291411	59.6406697817362	3.012
2018.78371539322	54.2317221856678	3.112
2018.79645787233	74.45810499903	3.296
2018.80920035145	65.2731771988637	3.484
2018.82194283056	83.0019437478564	3.672
2018.83468530967	71.1981174185299	3.912
2018.84742778878	84.0808305715108	4.158
2018.86017026789	79.5761417690311	4.438
2018.87291274701	95.431050350433	4.692
2018.88565522612	121.525317529653	5.022
2018.89839770523	138.10197965969	5.478
2018.91114018434	167.57572998214	5.946
2018.92388266345	187.146733528566	6.628
2018.93662514256	287.703849040239	7.644
2018.94936762168	352.244791165707	9.112
2018.96211010079	589.540885053969	11.684
2018.9748525799	1096.46639437811	16.582
2018.98759505901	2344.11206142008	30.344
2019.00033753812	6002.74447780485	507.996
2019.01308001724	5876.86244531403	517.596
2019.02582249635	5718.33574130044	527.982
