time	95%HPD_lower_value	95%HPD_higher_value
2014.62966720276	20.6840096223098	58.7986391208083
2014.64240968187	21.3156614270272	58.32468312978
2014.65515216098	21.9201921120246	57.6800796525552
2014.66789464009	22.4993118350036	57.0655403321236
2014.6806371192	23.0545899209473	56.4790098253466
2014.69337959832	23.5874690792713	55.9186159471998
2014.70612207743	24.0992779185211	55.3826497261451
2014.71886455654	24.5912420006626	54.8695480070547
2014.73160703565	25.064493658181	54.5049205141347
2014.74434951476	25.5200806727314	55.6483728308271
2014.75709199387	25.9589740330788	56.2082528243739
2014.76983447299	26.3820748472218	56.1799310739175
2014.7825769521	26.7902205126355	56.15303308205
2014.79531943121	27.1841902455316	56.1274542579128
2014.80806191032	27.564710057077	56.1030999987919
2014.82080438943	27.9324572106579	56.0798845284664
2014.83354686855	28.2880642476996	56.0577299142005
2014.84628934766	28.6321226222502	56.0365651509918
2014.85903182677	28.9651859782071	56.0163254442736
2014.87177430588	29.2877731267648	55.996951526682
2014.88451678499	29.6003707450624	55.9783890838028
2014.8972592641	29.9034358202142	55.9605882519261
2014.91000174322	30.1973978846053	55.9645136587431
2014.92274422233	30.4826610479244	55.8064084878726
2014.93548670144	30.7596058445077	55.4076792895155
2014.94822918055	31.1354890174563	55.0920407815021
2014.96097165966	31.528949961217	54.9797231182692
2014.97371413878	31.909320939961	54.8552838875777
2014.98645661789	32.2772445482417	54.7369345078178
2014.999199097	32.6333220008415	54.624238690487
2015.01194157611	32.9781164050819	54.5168008686846
2015.02468405522	33.3121557343292	54.4142615050026
2015.03742653434	33.6359355281863	54.3162931341387
2015.05016901345	33.9499213411514	54.2225968404243
2015.06291149256	34.254550980377	54.035446158967
2015.07565397167	34.5502365393126	53.8283851347633
2015.08839645078	34.8373662626608	53.6302650783569
2015.10113892989	35.1163062401273	53.4405190935103
2015.11388140901	35.38740197241	53.2586271936234
2015.12662388812	35.6509797934965	53.1317963897422
2015.13936636723	35.9073481815921	53.0565620616139
2015.15210884634	36.1567989676753	53.3267093626283
2015.16485132545	36.3996084386041	53.2936189615395
2015.17759380457	36.6360383621094	53.2089288778051
2015.19033628368	36.8663369264387	53.0217066243478
2015.20307876279	37.0907396111213	52.8403793177642
