node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
518,576,0.067501325856081,-2.05279073984284,-79.8930782192019,-2.05417789885079,-79.8933907078196,0.067501325856081,0,2019.89941510046,2019.96691642631,28950000
518,519,0.0926914199530391,-2.05279073984284,-79.8930782192019,-2.05484937943473,-79.8922905496985,0.0926914199530391,0,2019.89941510046,2019.99210652041,28950000
519,520,0.00578937499441257,-2.05484937943473,-79.8922905496985,-2.05532781529275,-79.891607002608,0.0984807949474517,0.0926914199530391,2019.99210652041,2019.9978958954,28950000
519,536,0.00569014658011247,-2.05484937943473,-79.8922905496985,-0.99988105505218,-80.6723219927003,0.0983815665331516,0.0926914199530391,2019.99210652041,2019.99779666699,28950000
520,521,0.00176144350653129,-2.05532781529275,-79.891607002608,-2.05437760056603,-79.8920098132448,0.100242238453983,0.0984807949474517,2019.9978958954,2019.99965733891,28950000
520,530,0.00189514970231552,-2.05532781529275,-79.891607002608,-2.05489473152424,-79.8912773310607,0.100375944649767,0.0984807949474517,2019.9978958954,2019.99979104511,28950000
521,10,0.492145939777465,-2.05437760056603,-79.8920098132448,-2.0524096362988,-79.8932263752401,0.592388178231448,0.100242238453983,2019.99965733891,2020.49180327869,28950000
521,522,0.000127326470882316,-2.05437760056603,-79.8920098132448,-2.05460347047543,-79.8920462073432,0.100369564924865,0.100242238453983,2019.99965733891,2019.99978466538,28950000
522,523,0.187357558030397,-2.05460347047543,-79.8920462073432,-3.98840254024697,-79.2583918530396,0.287727122955263,0.100369564924865,2019.99978466538,2020.18714222341,28950000
522,525,0.290689106789395,-2.05460347047543,-79.8920462073432,-2.05167939416234,-79.8987903549555,0.391058671714261,0.100369564924865,2019.99978466538,2020.29047377217,28950000
523,1,0.785535372216075,-3.98840254024697,-79.2583918530396,-3.98966327031048,-79.2563926197915,1.07326249517134,0.287727122955263,2020.18714222341,2020.97267759563,28950000
523,524,0.31303574339161,-3.98840254024697,-79.2583918530396,-3.98986970202658,-79.2598715258325,0.600762866346873,0.287727122955263,2020.18714222341,2020.5001779668,28950000
524,2,0.0790570058735225,-3.98986970202658,-79.2598715258325,-3.98965193169493,-79.2595187306288,0.679819872220395,0.600762866346873,2020.5001779668,2020.57923497268,28950000
524,3,0.262117115163249,-3.98986970202658,-79.2598715258325,-1.60325289572739,-79.1214647321674,0.862879981510122,0.600762866346873,2020.5001779668,2020.76229508197,28950000
525,4,0.381657375369561,-2.05167939416234,-79.8987903549555,-3.51204087205149,-79.8487202553687,0.772716047083822,0.391058671714261,2020.29047377217,2020.67213114754,28950000
525,526,0.307108503081734,-2.05167939416234,-79.8987903549555,-2.05593045225455,-79.896507053079,0.698167174795994,0.391058671714261,2020.29047377217,2020.59758227525,28950000
526,527,0.0712886824439161,-2.05593045225455,-79.896507053079,-2.05578094418019,-79.8962205567469,0.769455857239911,0.698167174795994,2020.59758227525,2020.6688709577,28950000
526,9,0.0718166318507011,-2.05593045225455,-79.896507053079,-3.98894729791614,-79.2558295054872,0.769983806646696,0.698167174795994,2020.59758227525,2020.6693989071,28950000
527,8,0.0988886051444638,-2.05578094418019,-79.8962205567469,-2.0560030421964,-79.8970526263571,0.868344462384374,0.769455857239911,2020.6688709577,2020.76775956284,28950000
527,528,0.0260854103333916,-2.05578094418019,-79.8962205567469,-2.05546220523876,-79.8945371383457,0.795541267573302,0.769455857239911,2020.6688709577,2020.69495636803,28950000
528,529,0.222600144424876,-2.05546220523876,-79.8945371383457,-2.06121303975037,-79.8986929228446,1.01814141199818,0.795541267573302,2020.69495636803,2020.91755651246,28950000
528,5,0.0700709543739461,-2.05546220523876,-79.8945371383457,-1.4872507276372,-79.5469342908824,0.865612221947248,0.795541267573302,2020.69495636803,2020.7650273224,28950000
529,6,0.0578533236102863,-2.06121303975037,-79.8986929228446,-2.05902628892427,-79.8930335438041,1.07599473560846,1.01814141199818,2020.91755651246,2020.97540983607,28950000
529,7,0.0578533236102863,-2.06121303975037,-79.8986929228446,-2.15794482651759,-80.7575354716229,1.07599473560846,1.01814141199818,2020.91755651246,2020.97540983607,28950000
530,531,0.000132673266197703,-2.05489473152424,-79.8912773310607,-2.05487701351046,-79.8913098964009,0.100508617915965,0.100375944649767,2019.99979104511,2019.99992371837,28950000
530,17,0.874525894783664,-2.05489473152424,-79.8912773310607,-2.05595795768327,-79.88861640687,0.974901839433432,0.100375944649767,2019.99979104511,2020.87431693989,28950000
531,532,0.633014427011389,-2.05487701351046,-79.8913098964009,-2.05170391758857,-79.8973975661335,0.733523044927354,0.100508617915965,2019.99992371837,2020.63293814538,28950000
531,16,0.674939669604983,-2.05487701351046,-79.8913098964009,-2.05485059929659,-79.8885235404598,0.775448287520948,0.100508617915965,2019.99992371837,2020.67486338798,28950000
532,15,0.129356936582768,-2.05170391758857,-79.8973975661335,-2.04949816654957,-79.8975182396058,0.862879981510122,0.733523044927354,2020.63293814538,2020.76229508197,28950000
532,533,0.0104416313239495,-2.05170391758857,-79.8973975661335,-2.04990331932677,-79.8966162846554,0.743964676251304,0.733523044927354,2020.63293814538,2020.64337977671,28950000
533,11,0.118915305258818,-2.04990331932677,-79.8966162846554,-1.48555257568458,-79.5474906312523,0.862879981510122,0.743964676251304,2020.64337977671,2020.76229508197,28950000
533,534,0.00572396210701692,-2.04990331932677,-79.8966162846554,-2.04992429685115,-79.8966883290699,0.749688638358321,0.743964676251304,2020.64337977671,2020.64910373882,28950000
534,535,0.0679139789055447,-2.04992429685115,-79.8966883290699,-2.05189248646578,-79.8939398346728,0.817602617263866,0.749688638358321,2020.64910373882,2020.71701771772,28950000
534,14,0.0202951682883747,-2.04992429685115,-79.8966883290699,-3.51083588920148,-79.8538212066791,0.769983806646696,0.749688638358321,2020.64910373882,2020.6693989071,28950000
535,13,0.0452773642462566,-2.05189248646578,-79.8939398346728,-2.05096296054107,-79.8921493561583,0.862879981510122,0.817602617263866,2020.71701771772,2020.76229508197,28950000
535,12,0.042545123808903,-2.05189248646578,-79.8939398346728,-2.05410477381944,-79.8955582069458,0.860147741072768,0.817602617263866,2020.71701771772,2020.75956284153,28950000
536,537,0.00114278496246556,-0.99988105505218,-80.6723219927003,-0.253264866246244,-79.1841874244424,0.0995243514956171,0.0983815665331516,2019.99779666699,2019.99893945195,28950000
536,549,0.000832812053978338,-0.99988105505218,-80.6723219927003,-0.999982570956662,-80.6723394735173,0.0992143785871299,0.0983815665331516,2019.99779666699,2019.99862947904,28950000
537,538,0.000277887888141426,-0.253264866246244,-79.1841874244424,-0.253140884176184,-79.1843542745048,0.0998022393837585,0.0995243514956171,2019.99893945195,2019.99921733984,28950000
537,18,0.498328307610084,-0.253264866246244,-79.1841874244424,-0.259999493009423,-79.1811882898295,0.597852659105701,0.0995243514956171,2019.99893945195,2020.49726775956,28950000
