node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
518,519,0.0974219713293294,-2.053445277491,-79.8933990835877,-2.05389833713737,-79.8926471392864,0.0974219713293294,0,2019.87420617619,2019.97162814752,89490000
518,977,0.0385047399393461,-2.053445277491,-79.8933990835877,-2.05093495102076,-79.8926790008279,0.0385047399393461,0,2019.87420617619,2019.91271091613,89490000
519,749,0.000753390489658834,-2.05389833713737,-79.8926471392864,-2.0541506290599,-79.8927383120781,0.0981753618189882,0.0974219713293294,2019.97162814752,2019.97238153801,89490000
519,520,0.00249430575952103,-2.05389833713737,-79.8926471392864,-2.05396924119907,-79.8917193720619,0.0999162770888504,0.0974219713293294,2019.97162814752,2019.97412245328,89490000
520,594,0.0166191826367452,-2.05396924119907,-79.8917193720619,-1.00369476674907,-80.6741611621548,0.116535459725596,0.0999162770888504,2019.97412245328,2019.99074163592,89490000
520,521,0.00853888131063218,-2.05396924119907,-79.8917193720619,-2.05506855523253,-79.8915371720052,0.108455158399483,0.0999162770888504,2019.97412245328,2019.98266133459,89490000
521,586,0.0171425057988233,-2.05506855523253,-79.8915371720052,-2.05548968761583,-79.8912334285031,0.125597664198306,0.108455158399483,2019.98266133459,2019.99980384039,89490000
521,522,0.00961217731795405,-2.05506855523253,-79.8915371720052,-2.05407752436831,-79.8913122229519,0.118067335717437,0.108455158399483,2019.98266133459,2019.99227351191,89490000
522,560,0.00157003688289015,-2.05407752436831,-79.8913122229519,-2.05397921747087,-79.8915759598209,0.119637372600327,0.118067335717437,2019.99227351191,2019.99384354879,89490000
522,523,0.000580579393451242,-2.05407752436831,-79.8913122229519,-2.0541069281726,-79.8911064975982,0.118647915110888,0.118067335717437,2019.99227351191,2019.99285409131,89490000
523,548,0.00616505356420904,-2.0541069281726,-79.8911064975982,-2.15932898442384,-80.7586159551254,0.124812968675097,0.118647915110888,2019.99285409131,2019.99901914487,89490000
523,524,0.00339450755607884,-2.0541069281726,-79.8911064975982,-2.05422588069086,-79.8913277770852,0.122042422666967,0.118647915110888,2019.99285409131,2019.99624859886,89490000
524,25,0.233259597859733,-2.05422588069086,-79.8913277770852,-2.05275906179194,-79.8913460700135,0.3553020205267,0.122042422666967,2019.99624859886,2020.22950819672,89490000
524,525,0.000914064605997744,-2.05422588069086,-79.8913277770852,-2.05423757057766,-79.8912837960075,0.122956487272964,0.122042422666967,2019.99624859886,2019.99716266347,89490000
525,534,0.000639747932467793,-2.05423757057766,-79.8912837960075,-2.0539971914268,-79.891075402267,0.123596235205432,0.122956487272964,2019.99716266347,2019.9978024114,89490000
525,526,0.00169277738361806,-2.05423757057766,-79.8912837960075,-2.05462365104956,-79.8914456987377,0.124649264656583,0.122956487272964,2019.99716266347,2019.99885544085,89490000
526,531,0.000923430825414906,-2.05462365104956,-79.8914456987377,-2.05442651243695,-79.8908927793495,0.125572695481997,0.124649264656583,2019.99885544085,2019.99977887168,89490000
526,527,0.000717219349318898,-2.05462365104956,-79.8914456987377,-2.0544267387304,-79.8910648588999,0.125366484005901,0.124649264656583,2019.99885544085,2019.9995726602,89490000
527,528,0.000176472112520032,-2.0544267387304,-79.8910648588999,-2.05478927686604,-79.8909119048342,0.125542956118421,0.125366484005901,2019.9995726602,2019.99974913231,89490000
527,5,0.26818690264102,-2.0544267387304,-79.8910648588999,-2.05805909714397,-79.8886043611074,0.393553386646921,0.125366484005901,2019.9995726602,2020.26775956284,89490000
528,4,0.705168900473916,-2.05478927686604,-79.8909119048342,-2.05310614703809,-79.8883475987339,0.830711856592337,0.125542956118421,2019.99974913231,2020.70491803279,89490000
528,529,0.466220305275959,-2.05478927686604,-79.8909119048342,-2.0577525288695,-79.8881076991106,0.59176326139438,0.125542956118421,2019.99974913231,2020.46596943759,89490000
529,1,0.361899414869998,-2.0577525288695,-79.8881076991106,-2.054682878188,-79.8927724497238,0.953662676264379,0.59176326139438,2020.46596943759,2020.82786885246,89490000
529,530,0.457665340499199,-2.0577525288695,-79.8881076991106,-2.0593122447989,-79.8901526243963,1.04942860189358,0.59176326139438,2020.46596943759,2020.92363477809,89490000
530,2,0.0545072984145574,-2.0593122447989,-79.8901526243963,-2.05135270875113,-79.8890218230185,1.10393590030814,1.04942860189358,2020.92363477809,2020.9781420765,89490000
530,3,0.0545072984145574,-2.0593122447989,-79.8901526243963,-2.05912764031731,-79.8904256770523,1.10393590030814,1.04942860189358,2020.92363477809,2020.9781420765,89490000
531,532,0.00018717616775954,-2.05442651243695,-79.8908927793495,-2.05441843164017,-79.8909319922294,0.125759871649757,0.125572695481997,2019.99977887168,2019.99996604784,89490000
531,6,0.22426484417045,-2.05442651243695,-79.8908927793495,-2.05653620069968,-79.8943282084879,0.349837539652448,0.125572695481997,2019.99977887168,2020.22404371585,89490000
532,533,0.128789519767003,-2.05441843164017,-79.8909319922294,-2.05230409661895,-79.8932138455568,0.25454939141676,0.125759871649757,2019.99996604784,2020.12875556761,89490000
532,9,0.210416465816832,-2.05441843164017,-79.8909319922294,-2.05430955365928,-79.8955127546382,0.336176337466589,0.125759871649757,2019.99996604784,2020.21038251366,89490000
533,8,0.117146071732924,-2.05230409661895,-79.8932138455568,-2.05145272827433,-79.8946312712214,0.371695463149684,0.25454939141676,2020.12875556761,2020.24590163934,89490000
