Entity;Code;Day;stringency_index
Ecuador;ECU;06.07.2020;79
Ecuador;ECU;07.07.2020;79
Ecuador;ECU;08.07.2020;79
Ecuador;ECU;09.07.2020;79
Ecuador;ECU;10.07.2020;79
Ecuador;ECU;11.07.2020;79
Ecuador;ECU;12.07.2020;79
Ecuador;ECU;13.07.2020;79
Ecuador;ECU;14.07.2020;79
Ecuador;ECU;15.07.2020;79
Ecuador;ECU;16.07.2020;79
Ecuador;ECU;17.07.2020;79
Ecuador;ECU;18.07.2020;79
Ecuador;ECU;19.07.2020;79
Ecuador;ECU;20.07.2020;79
Ecuador;ECU;21.07.2020;79
Ecuador;ECU;22.07.2020;79
Ecuador;ECU;23.07.2020;81
Ecuador;ECU;24.07.2020;78
Ecuador;ECU;25.07.2020;78
Ecuador;ECU;26.07.2020;78
Ecuador;ECU;27.07.2020;78
Ecuador;ECU;28.07.2020;78
Ecuador;ECU;29.07.2020;78
Ecuador;ECU;30.07.2020;78
Ecuador;ECU;31.07.2020;78
Ecuador;ECU;01.08.2020;76
Ecuador;ECU;02.08.2020;76
Ecuador;ECU;03.08.2020;76
Ecuador;ECU;04.08.2020;76
Ecuador;ECU;05.08.2020;76
Ecuador;ECU;06.08.2020;76
Ecuador;ECU;07.08.2020;76
Ecuador;ECU;08.08.2020;76
Ecuador;ECU;09.08.2020;76
Ecuador;ECU;10.08.2020;76
Ecuador;ECU;11.08.2020;76
Ecuador;ECU;12.08.2020;76
Ecuador;ECU;13.08.2020;76
Ecuador;ECU;14.08.2020;76
Ecuador;ECU;15.08.2020;76
Ecuador;ECU;16.08.2020;76
Ecuador;ECU;17.08.2020;76
Ecuador;ECU;18.08.2020;76
Ecuador;ECU;19.08.2020;76
Ecuador;ECU;20.08.2020;76
Ecuador;ECU;21.08.2020;73
Ecuador;ECU;22.08.2020;73
Ecuador;ECU;23.08.2020;73
Ecuador;ECU;24.08.2020;73
Ecuador;ECU;25.08.2020;73
Ecuador;ECU;26.08.2020;73
Ecuador;ECU;27.08.2020;73
Ecuador;ECU;28.08.2020;73
Ecuador;ECU;29.08.2020;73
Ecuador;ECU;30.08.2020;73
Ecuador;ECU;31.08.2020;73
Ecuador;ECU;01.09.2020;73
Ecuador;ECU;02.09.2020;73
Ecuador;ECU;03.09.2020;73
Ecuador;ECU;04.09.2020;73
Ecuador;ECU;05.09.2020;73
Ecuador;ECU;06.09.2020;73
