name	nameseq	pangolineage	date	state
130534_S59/B.1.1/2020-09-17/MANABI	130534_S59	B.1.1	2020-09-17	MANABI
131358_S60/B.1.1/2020-09-18/CHIMBORAZO	131358_S60	B.1.1	2020-09-18	CHIMBORAZO
131362_S61/B.1.1/2020-09-19/CHIMBORAZO	131362_S61	B.1.1	2020-09-19	CHIMBORAZO
131367_S62/B.1.1/2020-09-21/CHIMBORAZO	131367_S62	B.1.1	2020-09-21	CHIMBORAZO
131373_S63/B.1.1/2020-09-21/GUAYAS	131373_S63	B.1.1	2020-09-21	GUAYAS
131411_S64/B.1.1/2020-09-21/EL_ORO	131411_S64	B.1.1	2020-09-21	EL_ORO
131453_S65/B.1.1/2020-09-21/EL_ORO	131453_S65	B.1.1	2020-09-21	EL_ORO
131748_S66/B.1.1.10/2020-09-22/GUAYAS	131748_S66	B.1.1.10	2020-09-22	GUAYAS
131823_S67/B.1.1/2020-09-22/EL_ORO	131823_S67	B.1.1	2020-09-22	EL_ORO
131901_S68/B.1.1/2020-09-22/SANTO_DOMINGO	131901_S68	B.1.1	2020-09-22	SANTO_DOMINGO
136_S85/B.1.1/2020-04-01/GUAYAS	136_S85	B.1.1	2020-04-01	GUAYAS
137726_S69/B.1.1/2020-10-05/EL_ORO	137726_S69	B.1.1	2020-10-05	EL_ORO
137747_S70/B.1.1.117/2020-10-01/ESMERALDAS	137747_S70	B.1.1.117	2020-10-01	ESMERALDAS
137749_S71/B.1.1/2020-10-04/ESMERALDAS	137749_S71	B.1.1	2020-10-04	ESMERALDAS
137797_S72/B.1.1/2020-10-06/GUAYAS	137797_S72	B.1.1	2020-10-06	GUAYAS
137818_S73/B.1.1/2020-10-06/MANABI	137818_S73	B.1.1	2020-10-06	MANABI
137821_S74/B.1.1.10/2020-10-06/MANABI	137821_S74	B.1.1.10	2020-10-06	MANABI
137881_S75/B.1/2020-10-05/EL_ORO	137881_S75	B.1	2020-10-05	EL_ORO
137887_S76/B.1.1/2020-10-05/EL_ORO	137887_S76	B.1.1	2020-10-05	EL_ORO
137888_S77/B.1.1.134/2020-10-05/EL_ORO	137888_S77	B.1.1.134	2020-10-05	EL_ORO
137929_S78/B.1.1/2020-10-05/GUAYAS	137929_S78	B.1.1	2020-10-05	GUAYAS
137940_S79/B.1.1/2020-10-06/GUAYAS	137940_S79	B.1.1	2020-10-06	GUAYAS
137943_S80/B.1.1/2020-10-06/GUAYAS	137943_S80	B.1.1	2020-10-06	GUAYAS
138005_S81/B.1.1/2020-10-06/LOS_RIOS	138005_S81	B.1.1	2020-10-06	LOS_RIOS
138009_S82/B.1.1.1/2020-10-06/LOS_RIOS	138009_S82	B.1.1.1	2020-10-06	LOS_RIOS
138078_S83/B.1.1.1/2020-10-06/LOS_RIOS	138078_S83	B.1.1.1	2020-10-06	LOS_RIOS
138084_S84/B.1.1.1/2020-10-06/LOS_RIOS	138084_S84	B.1.1.1	2020-10-06	LOS_RIOS
138102_S85/B.1.1/2020-10-06/GUAYAS	138102_S85	B.1.1	2020-10-06	GUAYAS
138117_S86/B.1.1/2020-10-06/GUAYAS	138117_S86	B.1.1	2020-10-06	GUAYAS
138121_S87/B.1.1.1/2020-10-06/GUAYAS	138121_S87	B.1.1.1	2020-10-06	GUAYAS
138152_S88/B.1.1/2020-10-06/BOLIVAR	138152_S88	B.1.1	2020-10-06	BOLIVAR
138159_S89/B.1.1/2020-10-06/LOS_RIOS	138159_S89	B.1.1	2020-10-06	LOS_RIOS
138173_S90/B.1.1.1/2020-10-06/LOS_RIOS	138173_S90	B.1.1.1	2020-10-06	LOS_RIOS
138224_S91/B.1.1.1/2020-10-07/GUAYAS	138224_S91	B.1.1.1	2020-10-07	GUAYAS
138225_S92/B.1.1.1/2020-10-07/GUAYAS	138225_S92	B.1.1.1	2020-10-07	GUAYAS
138241_S93/B.1.1.1/2020-10-07/SANTO_DOMINGO	138241_S93	B.1.1.1	2020-10-07	SANTO_DOMINGO
